Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21252,-0.071,0.02,0.985,26.98,36.672,31.55,17,51
21296,-0.162,-0.217,1.254,45.13,30.267,52.649,20,48
21340,-0.225,-0.449,1.457,51.802,-41.916,65.458,15,49
21384,-0.136,-0.702,1.595,57.695,-64.641,65.695,21,53
21430,-0.07,-0.969,1.594,55.206,-56.061,64.237,50,56
21484,-0.079,-1.091,1.316,16.977,-39.183,47.916,169,60
21537,0.007,-1.092,0.613,-33.153,-56.138,7.111,171,67
21596,0.067,-0.714,-0.125,-67.847,103.992,-3.253,171,87
21653,0.009,-0.538,-0.15,-90.969,114.435,-32.374,174,116
21702,0.26,-0.474,0.06,-106.595,137.206,-62.939,31,116
21758,0.043,-0.875,0.499,-126.527,160.267,-82.832,0,81
21815,-0.563,-2.0,0.702,-88.092,250.13,-59.908,0,82
21863,-1.45,-0.852,1.185,12.207,250.13,-44.794,51,84
21912,-1.589,-0.42,0.947,-26.211,99.244,13.746,53,91
21960,-0.82,0.452,0.443,47.015,-5.833,20.495,46,101
22009,-0.666,1.105,0.378,60.015,70.58,77.649,43,114
22076,-1.166,0.372,1.14,30.962,32.809,218.16,0,0
22130,-1.86,-1.616,0.868,-3.699,-76.198,219.863,50,0
22185,-1.757,-1.846,0.694,-18.483,-79.168,144.221,57,0
22240,-1.42,-1.528,0.344,3.941,-44.031,80.427,41,0
22294,-0.822,-1.036,0.089,0.503,-96.427,-7.104,40,0
22348,-0.253,-0.689,0.099,33.916,-146.107,-2.843,41,0
22403,0.273,-0.371,-0.039,81.031,-145.527,9.736,38,0
22457,0.162,-0.196,0.287,60.656,-111.74,20.939,34,0
22511,-0.599,-0.603,0.707,44.733,-41.053,-31.092,37,0
22567,-0.788,-0.138,1.328,41.198,47.847,-5.69,38,0
22622,-1.031,0.281,1.436,2.359,0.21,-3.346,38,0
22676,-1.123,0.225,0.98,10.634,-56.992,-26.116,36,0
22730,-0.622,0.623,0.756,30.847,-88.29,82.71,34,0
22782,-0.33,0.991,0.995,66.359,-99.611,156.45,16,0
22836,-0.66,0.581,1.257,91.427,-60.58,250.13,28,0
22890,-1.265,0.218,1.519,130.153,-45.061,233.527,22,0
22942,-0.562,0.369,1.249,166.649,-95.084,188.115,16,0
22999,-0.194,0.345,1.152,72.252,-16.085,90.557,17,0
23055,0.174,0.061,0.583,-1.461,31.13,67.557,18,0
23108,-0.262,-0.436,0.583,8.102,123.908,74.969,15,0
23160,-0.379,-0.316,0.756,30.092,62.305,65.008,18,0
23218,-0.211,0.042,0.867,35.252,-47.092,41.336,16,0
23270,0.186,0.944,0.966,-24.798,-79.168,54.901,19,0
23327,0.136,0.701,1.108,-41.793,-5.924,33.376,17,0
