Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
290250,-0.31,-0.087,0.968,11.111,8.681,4.825,38,0
290334,-0.302,0.037,0.917,0.005,6.55,6.511,38,0
290418,-0.265,0.057,0.906,21.186,4.658,7.536,41,0
290502,-0.095,0.214,0.957,25.044,7.449,26.162,38,0
290587,-0.328,0.055,0.961,-1.388,2.061,13.845,41,0
290671,-0.476,0.129,0.921,-9.554,-5.727,4.245,39,0
290755,-0.193,0.054,0.906,38.542,9.25,29.476,38,0
290840,-0.248,-0.019,0.822,67.626,32.114,9.33,45,0
290937,-0.524,0.341,0.582,143.328,53.313,-60.344,0,0
291031,-0.703,0.456,0.36,244.817,80.786,-72.511,0,0
291124,-0.656,0.785,0.158,202.351,85.886,-73.901,0,0
291218,-0.85,0.784,0.033,108.733,52.595,-110.229,0,0
291311,-0.955,0.635,0.025,58.489,37.622,-87.405,0,186
291403,-0.948,0.438,-0.009,113.435,-10.111,-43.847,0,183
291496,-0.935,0.437,-0.128,113.832,-21.934,-16.573,0,182
291590,-0.996,0.326,-0.142,71.053,-39.641,-25.062,0,184
291687,-0.995,0.33,-0.191,72.603,-38.115,29.527,0,0
291781,-0.94,0.286,-0.19,67.244,-41.824,30.183,0,0
291874,-0.898,0.324,-0.173,76.817,-56.305,24.62,0,0
291966,-1.149,0.459,0.145,51.794,-38.435,21.784,0,167
292061,-1.165,0.507,0.655,-113.886,-114.435,5.516,0,0
292152,-0.696,0.303,-0.056,206.069,-178.748,90.069,0,159
292246,-0.355,0.574,-0.322,45.414,-129.847,75.122,0,0
292340,-0.271,0.44,-0.007,57.718,-39.939,76.443,0,0
292433,-0.497,0.927,0.08,89.641,44.176,-15.998,190,0
292527,-0.616,1.234,0.388,-63.0,102.458,-28.733,0,141
292610,-0.896,0.8,0.42,-168.557,75.985,-29.878,51,139
292691,-1.163,0.821,0.304,-89.466,-56.221,-63.29,45,137
292772,-1.316,0.952,0.105,-125.137,-239.092,-106.908,47,136
292864,-0.724,0.825,0.38,174.359,-250.137,41.695,0,134
292954,0.941,1.463,0.938,-64.069,-102.015,-25.737,0,135
293045,1.067,0.688,1.012,-250.137,19.025,-46.565,0,149
293132,0.522,-0.275,0.457,-250.137,-22.576,-29.641,74,0
293221,0.592,-0.563,0.238,-194.756,-52.427,-58.405,65,0
293304,0.626,-0.573,0.118,-71.771,-52.611,-64.504,45,148
293387,0.572,-0.671,0.022,-83.092,-59.672,-40.099,69,147
293468,0.503,-0.851,0.167,-56.931,-68.656,27.702,35,137
293550,0.544,-0.841,0.34,-28.603,-59.481,33.672,35,156
293630,0.514,-0.744,0.303,-31.679,-36.954,-5.3,31,136
293711,0.477,-0.835,0.397,57.362,-38.649,7.923,31,139
293793,0.495,-0.617,0.289,36.26,-28.855,-25.855,31,150
293885,0.821,-0.888,0.249,-67.977,-21.604,-31.836,0,167
293969,0.784,-0.965,0.252,76.504,-11.514,26.824,30,145
294051,0.531,-0.642,0.197,-48.306,-31.326,48.031,28,145
294141,0.647,-1.002,0.288,-39.786,6.497,62.725,0,144
294222,0.709,-0.925,0.192,8.118,51.252,100.198,29,142
294313,0.52,-0.845,0.137,-11.063,78.16,104.435,0,141
294405,0.383,-0.816,0.17,8.28,34.206,87.847,0,140
294484,0.183,-0.626,0.238,60.023,-22.127,99.618,20,141
294565,0.04,-0.626,0.279,64.244,-60.878,102.992,24,144
294653,-0.089,-0.5,0.254,121.924,-59.29,93.733,36,0
294738,-0.363,-0.359,0.735,73.229,-1.85,67.366,33,0
294823,-0.807,-0.574,1.103,62.794,11.061,36.389,37,0
294908,-0.87,-0.367,0.976,153.84,-32.267,27.939,48,0
294993,-0.59,0.138,0.914,60.672,-41.122,62.603,37,0
295077,-0.399,-0.293,1.065,23.333,-41.588,63.053,16,0
295161,-0.35,0.12,0.904,-19.145,-15.65,46.542,16,0
295244,-0.385,-0.26,0.826,-13.579,-28.356,28.45,17,0
295329,-0.345,0.039,0.737,45.925,22.145,30.687,30,0
295416,-0.638,-0.263,0.704,-53.043,-38.144,-26.175,27,0
295500,-0.553,-0.189,0.57,62.076,49.435,54.824,23,0
295590,-0.14,-0.865,1.635,132.031,-57.336,27.74,23,0
295673,-0.069,-0.078,1.177,-37.115,43.824,81.996,25,0
295756,-0.504,0.02,1.058,-21.431,11.787,37.954,29,0
295849,-0.324,0.471,0.737,11.957,18.338,46.45,0,0
295943,-0.425,0.196,0.757,38.542,-15.853,40.405,0,0
296027,0.176,0.196,0.863,88.347,-43.137,48.168,41,0
296111,-0.238,0.313,1.033,54.893,-47.305,50.595,30,0
296196,0.139,0.48,0.797,52.252,3.321,48.16,36,188
296279,-0.135,0.485,0.794,43.418,9.199,51.412,31,186
296361,-0.08,0.358,0.949,-27.445,-2.525,58.206,28,185
296443,-0.062,0.405,0.823,14.712,-4.68,48.42,25,185
296525,-0.018,0.363,0.817,4.231,-15.932,57.405,23,185
296607,-0.018,0.454,0.854,-8.404,-19.94,85.931,22,186
296691,0.132,0.505,0.98,-0.707,0.795,74.015,21,0
296773,0.233,0.196,0.979,-1.207,-12.566,76.206,18,0
296856,0.369,0.343,0.978,39.71,-28.573,56.794,18,0
296942,0.258,0.399,0.808,-14.501,6.786,40.374,22,0
297024,0.426,0.366,0.673,-10.661,-17.721,37.901,16,0
297107,0.573,0.751,0.338,78.176,-23.395,-28.505,18,0
297191,0.35,0.351,0.693,43.784,-8.934,26.863,31,0
297274,0.353,0.574,0.87,64.698,10.752,50.74,23,0
297357,0.467,0.283,0.872,-6.59,-3.166,43.977,25,0
297442,0.312,0.65,0.509,17.024,-20.5,63.405,47,0
297535,0.702,0.409,0.737,46.603,-34.145,63.878,0,0
297628,0.582,0.284,0.688,46.489,-43.198,70.405,0,0
297724,0.604,0.448,0.68,37.656,-33.061,82.878,0,0
297800,1.045,0.476,0.545,53.702,0.523,48.779,52,57
297885,1.089,0.288,0.692,69.931,-10.065,-32.397,56,0
297979,-0.955,0.904,0.853,202.29,99.863,50.069,0,0
298061,0.227,0.547,0.366,-45.885,-50.397,178.16,0,14
298139,1.717,-0.283,0.39,21.455,35.229,183.107,65,60
298217,0.953,-0.491,0.135,-141.672,-32.504,131.122,57,69
298296,0.91,-0.488,0.178,65.55,-15.41,112.427,68,76
298382,1.521,0.019,-0.087,68.566,-57.405,117.427,70,0
298470,1.007,-0.29,0.003,52.565,-16.104,143.634,43,0
298555,0.395,-0.198,0.035,94.496,29.389,165.534,59,0
298640,0.161,-0.29,0.181,105.26,74.725,185.344,51,0
298724,-0.071,-0.36,0.401,98.824,122.168,158.29,39,0
298808,-0.674,-0.931,0.761,160.178,129.679,115.718,30,0
298901,-0.922,-0.724,0.925,64.71,116.947,45.595,0,0
298985,-1.042,-0.445,0.834,132.672,52.893,-46.367,16,0
299074,-0.704,-0.276,0.68,105.443,34.863,22.053,122,0
299170,-0.73,-0.146,0.672,3.811,46.542,38.13,0,0
299251,-0.69,-0.241,0.642,-45.723,28.176,22.634,136,22
299330,-0.924,-0.273,0.784,-33.51,-7.57,-20.032,119,18
