Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
78000,-0.532,-0.202,-0.097,1.354,-93.237,-58.847,40,102
78077,-1.515,2.0,-0.316,160.886,-191.458,-75.382,46,96
78156,-0.285,1.656,-0.247,-39.412,-97.244,38.542,55,100
78235,0.306,0.242,0.052,0.044,-88.725,-9.2,51,106
78319,0.476,-0.064,0.114,50.397,-51.434,6.179,145,106
78397,0.364,-0.001,0.333,22.107,18.229,58.969,52,98
78475,-1.673,2.0,-0.567,20.667,34.282,85.779,48,89
78555,-0.568,1.021,-0.282,-113.107,8.374,99.221,41,96
78638,-0.12,-0.074,-0.147,-57.947,-10.359,-53.855,133,103
78716,-0.337,-0.531,-0.159,25.993,-49.26,-45.565,44,103
78794,-1.167,0.921,-0.268,92.634,-171.611,-62.908,44,97
78878,-0.975,2.0,-0.727,163.931,-206.061,43.443,146,95
78957,0.175,0.703,-0.07,-67.634,-118.588,-48.947,51,103
79039,0.442,0.015,0.243,61.244,-66.916,-11.458,51,159
79119,0.454,0.044,0.208,5.678,-5.015,32.832,51,117
79198,-0.275,1.606,0.17,69.115,2.527,72.496,50,100
79285,-1.298,2.0,-0.631,-104.061,75.13,157.679,45,0
79368,-0.461,0.636,-0.135,-66.183,-10.847,49.344,38,0
79452,-0.314,-0.256,-0.289,-23.435,-81.435,7.393,38,0
79536,-0.245,-0.415,-0.138,49.885,-134.298,-12.682,37,0
79620,-1.691,2.0,-0.623,124.191,-247.832,-74.313,42,0
79705,0.046,1.803,-0.451,30.079,-170.603,24.45,57,0
79789,0.537,0.152,0.132,26.568,-111.588,-10.435,50,0
79870,0.486,-0.189,0.167,4.038,-56.448,30.511,51,157
79956,0.316,0.502,0.25,49.855,3.061,62.122,57,158
80040,-0.764,2.0,-0.758,48.504,75.435,151.542,46,0
80118,-0.48,0.999,-0.215,-71.084,40.855,70.099,37,105
80207,-0.26,-0.044,-0.16,52.649,-12.26,-18.089,132,0
80291,-0.327,-0.528,-0.145,-102.221,-92.542,-76.412,36,0
80376,-1.611,2.0,-0.678,193.809,-217.702,-46.344,51,0
80461,-0.275,2.0,-0.675,-96.015,-154.916,30.534,51,0
80545,0.258,0.195,0.056,67.786,-160.611,20.74,47,0
80634,0.782,0.059,0.102,-11.264,-73.824,5.347,129,0
80721,0.501,-0.047,0.263,16.132,8.893,15.779,45,0
80812,-0.738,2.0,-1.256,146.794,89.427,146.244,144,0
80896,-0.671,0.643,-0.235,-133.786,44.802,73.809,42,0
80979,-0.399,-0.014,-0.15,21.189,2.206,-21.299,127,113
81063,-0.199,-0.371,0.005,-57.191,-35.242,-55.397,38,0
81147,-1.336,2.0,-0.346,116.45,-181.756,-76.824,43,0
81232,-0.128,2.0,-0.675,28.862,-140.038,53.16,51,0
81316,0.361,0.418,-0.027,-31.191,-116.221,-31.685,50,0
81401,0.491,-0.003,0.103,12.179,-68.282,-22.233,47,0
81494,0.351,0.106,0.173,4.745,-4.481,22.322,137,0
81572,-1.134,2.0,-1.044,53.183,60.511,87.534,57,98
81651,-0.886,1.389,-0.282,-112.344,37.718,96.313,41,97
81730,-0.119,0.336,0.029,16.912,-22.357,-15.69,45,103
81808,-0.337,-0.116,-0.12,37.285,-46.715,-48.55,38,104
81887,-0.418,-0.161,-0.09,-14.344,-119.832,-27.018,40,99
81965,-1.447,2.0,-0.908,73.939,-212.137,-1.158,44,94
82043,-0.129,1.152,-0.245,-19.087,-152.061,26.885,41,99
82125,0.477,0.212,-0.01,19.005,-151.687,-37.374,44,105
82204,0.675,-0.035,0.174,30.992,-68.355,-17.789,51,104
82283,0.217,0.696,0.143,5.229,10.282,37.473,43,96
82367,-1.318,2.0,-0.648,-42.695,42.908,103.466,148,91
82445,-0.604,0.928,-0.145,-13.296,-18.77,55.061,42,97
82524,-0.263,0.299,-0.088,-18.098,-78.388,-40.374,40,103
82603,-0.467,-0.386,-0.242,-13.561,-88.733,-47.595,38,103
82680,-0.718,0.577,-0.325,52.053,-174.618,-32.854,41,97
