Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
38906,1.163,0.132,0.549,14.229,27.22,-42.687,165,0
38952,-0.45,0.057,0.596,-39.879,223.092,-36.092,0,0
39000,-0.79,0.06,1.309,-17.725,83.191,18.791,0,0
39046,-0.609,-0.055,1.285,-26.206,-159.756,39.046,0,0
39092,0.599,-0.275,0.704,11.275,-211.55,0.819,0,0
39139,1.23,0.062,0.456,21.16,50.55,-42.305,0,0
39185,0.464,0.12,0.947,15.285,236.198,-46.191,0,0
39234,-0.781,0.12,1.223,-8.779,130.221,17.003,0,0
39280,-0.85,-0.064,1.181,-26.771,-115.832,31.069,0,0
39327,-0.041,-0.228,0.912,-11.733,-228.756,27.947,0,0
39373,1.22,-0.015,0.434,32.748,-39.443,-47.519,0,0
39418,0.298,0.282,0.656,-8.028,226.809,-16.691,162,0
39478,-0.933,0.133,1.403,-50.786,126.794,63.74,0,0
39523,-0.337,-0.416,1.068,-6.763,-250.137,10.647,172,0
39583,1.369,0.018,0.289,39.359,-151.42,-49.519,0,0
39627,0.333,0.125,0.616,-12.149,250.13,-28.924,150,0
39687,-0.858,0.096,1.362,-35.42,159.687,31.321,138,0
39731,-0.534,-0.234,1.23,-9.277,-238.748,18.901,137,0
39791,1.121,-0.14,0.421,35.092,-179.634,-54.802,0,0
39837,0.467,0.159,0.592,-29.088,233.634,-31.13,0,0
39884,-0.789,0.068,1.25,-39.84,174.076,23.206,0,0
39930,-0.879,-0.301,1.443,-32.977,-159.931,31.763,0,0
39977,0.653,0.056,0.61,22.008,-231.809,-45.023,0,0
40022,1.042,0.166,0.4,-9.48,94.672,-36.015,164,0
40079,-0.139,0.089,0.875,-39.183,228.321,33.688,138,0
40125,-0.946,-0.439,1.604,-30.115,-96.611,37.382,139,0
40182,0.298,-0.091,0.851,21.71,-221.16,-33.412,138,0
40225,0.881,0.084,0.521,20.994,101.557,-26.916,143,0
40286,-0.196,0.001,0.941,-24.756,199.405,3.86,0,0
40330,-0.567,-0.143,1.313,9.353,-55.443,21.339,141,0
