Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
28500,-0.085,0.079,0.953,-15.52,-27.802,-0.686,120,0
28542,-0.101,0.013,1.06,4.641,4.805,12.246,120,0
28598,-0.102,0.128,1.078,13.767,2.924,6.658,119,0
28653,-0.118,0.191,0.982,4.237,7.461,4.622,119,0
28708,-0.283,0.214,1.091,-4.441,2.318,16.908,119,0
28750,-0.714,0.298,1.28,5.075,-32.519,50.901,118,0
28806,-1.114,0.426,1.559,40.557,41.473,58.832,116,0
28861,-0.723,-0.259,0.894,108.374,23.517,218.779,110,0
28913,-0.138,-0.405,1.025,59.214,-44.58,250.13,104,0
28965,0.65,-0.215,0.723,58.977,-117.084,200.817,58,0
29016,0.923,0.122,0.538,51.863,-71.099,157.542,19,0
29067,0.912,0.077,0.446,30.985,54.29,116.496,50,0
29119,0.481,0.089,0.708,30.275,118.168,92.962,47,0
29169,0.193,0.039,0.793,45.611,117.221,85.679,30,0
29219,-0.009,0.234,0.987,39.481,63.344,66.069,18,0
29268,0.071,0.394,1.021,23.366,18.817,30.635,17,0
29321,0.207,0.532,0.927,18.664,31.099,9.341,16,0
29371,0.17,0.603,0.831,39.015,68.931,24.962,16,0
29421,-0.018,0.572,0.852,32.282,69.695,35.29,29,0
29472,-0.071,0.57,0.893,23.382,32.939,37.824,51,0
29524,0.003,0.493,0.925,17.336,-29.29,33.74,50,0
29575,0.21,0.4,0.845,24.443,-74.382,28.716,29,0
29626,0.431,0.499,0.782,31.489,-58.328,14.662,30,0
29675,0.514,0.668,0.781,34.015,2.717,8.435,23,0
29727,0.425,0.732,0.707,31.359,25.845,5.922,50,0
29778,0.316,0.706,0.598,29.351,26.023,-5.808,50,0
29834,0.21,0.692,0.615,22.809,30.351,-15.12,51,0
29885,0.163,0.613,0.739,12.818,3.48,-27.244,51,0
29937,0.344,0.63,0.761,20.443,-27.641,-66.855,53,0
29989,0.557,0.693,0.925,33.634,-68.534,-127.359,53,0
30042,0.652,0.857,0.686,31.878,-108.725,-226.931,58,0
30094,0.324,0.902,0.501,-24.427,-42.641,-250.137,64,0
30147,-0.155,0.233,0.185,-38.473,98.87,-250.137,71,0
30203,-1.14,-0.429,0.689,-1.691,122.015,-250.137,123,0
30260,-1.577,-0.173,0.687,18.718,-111.947,-235.435,127,0
30319,-0.556,0.548,0.552,-47.702,-197.382,-156.008,127,0
30376,-0.562,0.322,0.835,-37.046,-21.763,-96.702,159,0
30422,-0.952,0.055,1.028,-33.489,-47.101,-71.588,157,0
30479,-0.83,0.216,0.965,-37.817,-143.863,-62.076,154,0
30529,-0.279,0.061,0.837,-40.87,-148.679,-40.282,8,0
30578,-0.015,-0.159,0.908,-37.473,-73.748,-19.006,9,0
30627,0.059,-0.093,0.909,-27.229,-76.985,-45.296,5,5
30688,0.032,-0.078,0.995,-25.908,-62.802,-18.339,0,0
30741,-0.052,-0.273,1.111,-33.061,-71.611,-27.679,16,0
30793,0.26,-0.181,1.001,-9.975,-71.855,1.647,52,0
30854,0.204,-0.226,1.04,-11.739,-75.481,-30.763,0,0
30914,0.212,-0.176,0.852,-7.58,-15.686,-28.15,0,0
30964,0.063,-0.209,0.98,-18.663,-39.618,-8.593,10,0
31013,0.209,-0.301,0.881,-12.542,-69.45,6.18,10,0
