Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
18212,-0.07,-0.214,0.962,5.051,3.917,-23.448,111,83
18264,-0.1,-0.19,0.997,16.797,-5.395,-21.022,115,81
18315,-0.055,-0.175,0.997,19.79,2.602,-23.335,113,79
18360,-0.118,-0.181,1.111,24.145,6.581,-11.37,11,78
18405,-0.019,-0.182,1.084,27.969,0.02,-27.683,16,76
18454,0.01,-0.154,1.083,29.947,12.947,-34.558,82,74
18502,-0.045,-0.082,1.096,28.053,13.985,-27.125,81,71
18550,-0.114,-0.101,1.071,18.68,13.344,-32.748,16,68
18599,-0.171,-0.08,1.052,25.634,20.809,-17.819,83,65
18648,-0.206,-0.082,1.042,23.427,5.36,-33.151,80,62
18692,-0.214,-0.14,0.98,18.118,-8.481,-42.29,16,59
18736,-0.294,-0.265,1.016,9.441,-10.954,-62.916,16,56
18781,-0.291,-0.307,0.986,11.452,-8.328,-69.45,19,54
18825,-0.305,-0.284,1.023,12.563,2.765,-61.229,16,52
18873,-0.317,-0.305,0.996,17.98,4.496,-49.13,99,51
18917,-0.328,-0.219,0.982,12.606,1.027,-43.901,11,50
18968,-0.228,-0.245,0.94,8.239,8.758,-65.313,103,50
19012,-0.234,-0.173,1.025,39.763,11.681,-112.221,9,54
19056,-0.247,-0.033,0.976,56.237,9.779,-143.374,9,53
19112,-0.296,0.053,0.929,54.87,19.305,-154.817,78,0
19169,-0.418,0.105,0.996,43.908,17.702,-155.198,82,200
19220,-0.513,0.074,1.039,33.458,-8.154,-149.603,16,174
19271,-0.401,0.054,1.008,26.069,-13.427,-145.313,19,173
19328,-0.319,0.045,1.008,14.992,-0.95,-147.168,121,172
19381,-0.349,-0.011,1.031,27.771,-1.836,-142.756,16,195
19439,-0.321,-0.047,1.0,26.0,-7.265,-138.802,75,195
19495,-0.3,-0.028,0.971,29.29,2.784,-129.344,72,197
19553,-0.335,-0.067,0.976,17.745,-9.893,-125.832,107,199
19609,-0.211,-0.111,0.999,8.023,-3.968,-88.534,70,0
19664,-0.281,-0.007,1.065,-10.42,8.058,-60.168,68,0
19718,-0.11,-0.071,1.097,-5.466,-28.053,-80.084,16,0
19770,0.021,-0.092,1.008,14.855,-13.412,-103.214,16,0
19826,-0.062,-0.112,0.976,24.962,23.244,-112.672,67,0
19885,-0.209,-0.115,1.068,26.74,11.501,-115.649,67,0
19934,-0.131,0.009,1.057,22.641,-9.84,-111.473,69,82
19980,-0.069,0.068,1.022,14.372,-6.863,-99.718,17,82
