Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36841,-2.0,-0.115,-0.158,-108.511,-35.901,185.939,41,96
36886,-2.0,-0.643,-0.373,-70.069,-81.107,189.412,37,91
36930,-1.89,-0.69,-0.267,-58.397,-88.198,199.366,35,96
36975,-1.162,-0.728,-0.169,-63.847,-68.847,158.076,32,103
37021,-0.554,-0.714,-0.249,-62.0,-41.679,91.802,41,108
37066,-0.126,-0.654,-0.375,-58.679,-0.405,75.188,31,108
37117,0.077,-0.595,-0.277,-47.511,42.794,-62.893,121,111
37166,0.006,-0.551,0.024,-20.069,36.992,-113.71,33,106
37211,-0.61,-0.649,0.216,16.687,6.366,-148.42,32,103
37256,-1.696,-0.881,-0.132,101.702,99.733,-204.282,39,102
37301,-2.0,-0.487,0.143,116.84,198.809,-103.168,48,96
37355,-2.0,-0.084,0.338,88.031,84.221,-59.153,0,98
37410,-0.872,0.13,0.095,63.824,-45.939,-37.664,0,102
37465,-0.579,0.427,-0.084,40.565,-22.015,-34.313,0,106
37520,-0.413,0.664,0.184,-27.959,-12.71,-47.255,0,103
37577,-0.625,0.72,0.104,-40.58,-30.725,59.405,0,105
37632,-1.099,0.569,-0.261,-114.634,-35.58,166.053,0,96
37678,-2.0,-0.611,-0.641,-142.145,-41.174,147.863,47,93
37723,-2.0,-0.815,-0.465,-128.275,-56.206,127.832,44,96
37769,-1.262,-0.63,-0.315,-118.924,-35.985,82.603,38,108
37814,-0.681,-0.498,-0.186,-119.718,-35.821,33.947,32,104
37859,-0.167,-0.511,-0.155,-113.55,-27.482,-62.546,31,104
37914,0.278,-0.691,-0.159,-75.557,-21.046,-43.13,0,108
37960,0.369,-0.787,-0.231,68.95,39.483,-79.038,43,105
38008,-0.423,-0.729,-0.124,101.534,9.869,-141.817,42,102
38055,-2.0,-0.729,-0.143,130.901,123.405,-165.359,48,113
38110,-2.0,-0.103,0.236,81.603,128.786,-30.786,0,102
38156,-1.713,-0.214,0.132,35.16,-75.252,-2.755,49,100
38203,-0.666,-0.022,-0.062,52.87,-65.824,7.15,49,105
38257,-0.316,0.291,0.057,49.71,36.329,0.049,0,105
38312,-0.198,0.528,0.196,-18.006,27.84,-26.909,0,113
38368,-0.348,0.738,0.225,-54.321,-28.26,7.168,0,106
38417,-0.592,0.639,-0.303,-141.863,-32.26,101.076,47,100
38462,-2.0,0.197,-0.496,-169.221,17.889,126.794,47,94
38507,-2.0,-0.847,-0.599,-152.733,-51.282,99.389,36,92
38552,-1.854,-0.765,-0.403,-138.672,-87.748,99.901,35,98
38598,-1.115,-0.711,-0.239,-116.809,-39.763,61.573,43,103
38644,-0.323,-0.563,-0.176,-85.221,-20.374,25.427,36,108
38700,0.216,-0.684,-0.205,-48.931,-8.348,-36.979,0,110
38755,0.38,-0.539,-0.2,70.141,5.435,-50.0,0,109
38801,-0.449,-0.615,-0.086,85.206,-39.076,-103.603,44,103
38849,-1.689,-0.61,-0.238,135.504,99.45,-145.763,37,104
38895,-2.0,-0.31,0.295,107.183,157.947,-55.099,49,106
38943,-2.0,-0.3,0.421,42.985,-1.899,-25.244,49,130
38989,-1.219,-0.012,-0.046,56.298,-31.466,-35.855,46,107
39045,-0.463,0.349,-0.084,59.397,45.412,-28.076,0,104
