Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33132,-0.744,-0.713,0.16,-41.698,51.718,-108.206,45,27
33177,-1.324,-0.927,0.182,11.821,69.275,-125.58,50,88
33222,-1.703,-0.713,0.19,24.977,77.824,-127.802,43,79
33267,-1.757,-0.385,0.213,29.802,69.489,-80.771,53,88
33321,-1.396,0.052,0.22,26.405,38.847,-38.74,0,96
33376,-0.997,0.51,0.289,26.926,13.351,12.656,0,106
33430,-0.604,0.66,0.285,34.983,-26.573,79.374,0,99
33478,-0.681,0.504,0.143,-65.176,-45.534,154.733,44,96
33523,-1.183,0.231,-0.311,-113.588,-22.748,191.328,49,89
33568,-2.0,0.084,-0.335,-120.198,-17.908,177.305,41,97
33613,-2.0,-0.547,-0.465,-99.267,-105.183,176.305,38,100
33658,-1.415,-0.673,-0.441,-83.214,-75.122,138.992,31,96
33703,-0.734,-0.493,-0.249,-73.519,-11.095,70.351,44,103
33750,-0.42,-0.443,0.024,-67.015,53.064,152.708,40,111
33795,-0.133,-0.446,-0.024,-58.031,-7.063,-79.878,30,103
33841,0.159,-0.466,-0.138,-43.832,-3.928,-122.42,41,106
33889,0.022,-0.553,-0.166,-22.023,-17.236,-133.847,41,100
33934,-0.764,-0.901,-0.127,30.733,27.237,-150.672,37,102
33979,-2.0,-0.924,-0.211,80.908,81.794,-136.198,36,94
34025,-2.0,-0.661,0.112,105.473,98.489,-57.863,50,102
34071,-1.681,-0.25,0.259,88.176,38.481,-25.908,49,107
34126,-1.757,0.124,0.114,69.687,-81.218,-31.244,0,103
34181,-0.55,0.603,0.09,23.779,-26.726,-62.843,0,104
34237,-0.292,0.846,0.199,-51.13,-51.46,-107.918,0,123
34295,-0.671,0.76,-0.0,-124.405,-47.771,99.069,0,111
34340,-1.754,0.26,-0.71,-148.046,-20.336,142.595,50,96
34386,-2.0,-0.637,-0.8,-144.863,-28.74,119.863,45,88
34433,-2.0,-0.678,-0.466,-132.321,-60.916,103.183,47,102
34478,-1.38,-0.625,-0.406,-110.084,-52.756,84.29,44,102
34524,-0.548,-0.43,-0.162,-95.122,-32.099,71.389,36,105
34570,0.069,-0.556,-0.407,-67.992,-38.71,28.962,33,111
34615,0.488,-0.647,-0.292,73.463,-39.656,48.634,43,108
34664,0.252,-0.616,0.102,23.954,22.131,-51.344,44,111
34709,-0.932,-0.887,-0.357,71.176,19.579,-133.985,32,107
34754,-2.0,-0.838,-0.319,78.107,123.435,-174.786,35,95
34800,-2.0,-0.404,0.121,55.954,116.229,-73.038,46,97
34846,-1.907,0.168,0.044,47.061,42.986,-56.611,47,107
34900,-1.055,0.214,-0.137,53.252,-23.649,-42.817,0,101
34956,-0.519,0.541,0.044,33.817,35.397,-29.794,0,108
35011,-0.378,0.681,0.306,63.396,41.301,76.063,0,106
35066,-0.48,0.684,0.176,-54.611,-43.267,66.313,0,101
35116,-1.377,0.537,-0.644,-125.267,13.303,116.557,48,98
35161,-2.0,-0.612,-1.061,-141.771,18.444,87.886,47,97
35206,-2.0,-0.594,-0.569,-144.038,-76.847,124.427,37,95
35261,-1.227,-0.804,-0.565,-128.351,-65.015,103.931,0,103
35316,-0.271,-0.602,-0.259,-114.168,-16.42,46.0,0,107
35362,0.356,-0.706,-0.146,-77.901,-21.481,-22.649,37,117
35408,0.463,-0.745,-0.395,24.356,7.425,-83.153,41,106
35454,-0.068,-0.735,-0.595,45.771,-82.738,-110.802,31,101
35503,-1.819,-1.113,-0.325,107.847,72.649,-152.176,40,102
35592,-2.0,-0.442,0.382,76.13,74.886,92.067,47,95
35638,-1.41,-0.507,0.026,97.977,-23.038,-29.359,48,97
35684,-0.656,0.262,-0.622,108.008,-80.558,-25.359,51,99
35730,-0.502,0.752,0.053,65.74,35.069,-7.993,48,106
35777,-0.41,0.844,0.208,70.946,27.504,37.309,50,108
35823,-0.5,0.694,0.201,-62.992,-36.099,84.664,50,102
35869,-0.822,0.3,-0.096,-83.901,-38.855,150.649,46,98
35914,-2.0,-0.098,-0.126,-84.718,11.414,110.26,38,95
35972,-2.0,-0.884,-0.444,-35.878,-36.565,86.42,0,100
36018,-1.279,-0.511,-0.255,-51.458,-43.748,112.183,47,100
36064,-0.483,-0.266,-0.031,-68.679,-24.519,51.374,33,106
36110,-0.081,-0.429,-0.062,-56.695,-30.374,21.053,34,109
36156,0.488,-0.439,-0.376,-32.87,-65.763,-43.977,38,115
36201,0.354,-0.647,-0.45,55.266,70.17,-82.206,33,109
36247,-0.858,-1.114,-0.379,78.275,68.328,-126.0,35,106
36292,-2.0,-1.262,-0.134,160.718,210.092,-130.237,35,93
36349,-2.0,-0.297,0.759,108.603,140.565,-57.679,0,93
36405,-1.555,-0.096,-0.236,120.702,-22.824,-72.382,0,94
36460,-0.711,0.677,-0.143,117.611,56.084,-33.87,0,110
36507,-0.579,0.832,0.167,65.29,58.176,-15.729,47,99
36553,-0.37,0.657,0.339,-101.866,-72.159,57.847,51,97
36600,-0.431,0.487,0.154,-46.863,-24.069,108.611,45,120
36645,-0.529,0.255,0.075,-93.206,12.702,147.511,45,92
36690,-2.0,-0.801,-0.267,-100.45,-19.901,109.802,36,88
36745,-2.0,-0.754,-0.393,-63.931,-84.13,85.855,0,92
36794,-1.249,-0.459,-0.371,-39.977,-16.435,70.122,32,95
36840,-0.702,-0.135,0.025,-37.733,21.527,42.267,44,101
36886,-0.195,-0.406,-0.29,-22.344,-18.809,-42.383,43,102
36941,0.369,-0.569,-0.294,-70.05,-23.489,-25.466,0,100
36986,0.233,-0.682,-0.344,49.702,15.542,-70.153,30,102
37042,-0.69,-0.741,-0.127,117.16,27.557,-118.366,0,96
37087,-2.0,-0.978,-0.431,208.481,125.58,-187.565,36,91
37133,-2.0,-0.252,0.157,145.565,125.58,-60.679,45,92
37190,-1.731,0.744,-0.222,126.962,184.22,-56.542,0,102
37236,-0.655,0.357,-0.315,134.031,-48.057,-37.779,47,95
37292,-0.39,0.703,-0.023,101.794,52.275,-10.611,0,99
37346,-0.308,0.636,0.166,40.962,31.405,-16.357,0,94
37401,-0.67,0.5,0.167,-26.84,62.744,82.099,0,95
37446,-1.873,0.218,0.059,-77.962,35.992,128.313,47,97
37492,-2.0,-0.943,-0.344,-54.031,-30.321,111.221,51,96
37547,-2.0,-0.772,-0.347,-38.71,-46.656,111.611,0,84
37592,-0.671,-0.477,0.0,-45.0,-32.122,63.557,37,87
37640,-0.286,-0.727,-0.391,-33.153,-31.298,24.771,28,88
37694,0.145,-0.579,0.015,47.349,-27.435,49.82,0,86
37750,0.266,-0.692,-0.367,53.076,-21.786,6.119,0,103
37794,-0.384,-0.847,-0.275,147.237,-13.525,-50.573,29,82
37838,-1.791,-0.794,-0.405,221.893,75.153,-131.282,29,76
37882,-2.0,-0.304,-0.115,197.641,160.794,-131.099,33,73
37927,-2.0,0.112,0.107,130.168,39.779,-66.344,46,74
37982,-1.268,0.215,-0.23,134.573,-53.061,-63.573,0,78
38080,-0.27,0.966,0.077,91.092,62.863,-120.648,43,7
38118,-0.322,0.821,0.267,27.667,32.234,40.366,46,7
38172,-0.661,0.454,0.162,-30.748,20.065,102.695,0,77
38217,-1.754,0.115,-0.194,-67.84,58.061,162.847,47,79
38272,-2.0,-1.082,-0.279,-47.794,-30.718,105.275,0,84
38317,-1.988,-0.649,0.018,-26.672,-44.313,84.374,32,92
38363,-1.472,-0.446,0.011,-34.588,-24.824,40.031,42,94
38409,-0.47,-0.462,0.02,-33.069,-39.237,-56.316,32,97
38464,-0.027,-0.503,-0.222,-22.671,-55.122,-24.695,0,102
38513,0.516,-0.505,-0.474,65.328,-47.359,-36.534,30,99
38559,0.112,-0.701,-0.316,115.458,13.543,-74.802,40,97
38604,-1.57,-1.276,-0.701,185.595,64.107,-160.565,34,92
38650,-2.0,-0.665,-0.114,169.534,169.687,-151.901,49,89
38705,-2.0,-0.241,0.239,102.481,90.504,-45.336,0,91
38760,-1.232,0.062,-0.22,129.313,-24.718,-53.794,0,92
38815,-0.463,0.603,-0.242,130.008,35.893,-36.931,0,97
38871,-0.385,0.877,0.247,79.374,56.344,166.995,0,108
38929,-0.587,0.616,0.24,-29.984,-20.801,68.779,0,95
38983,-0.702,0.341,-0.007,-65.061,38.669,150.649,0,91
39029,-2.0,-0.5,-0.235,-111.344,-29.435,160.435,47,86
39075,-2.0,-0.586,-0.41,-94.588,-92.832,165.763,34,90
39121,-1.433,-0.652,-0.139,-74.924,-75.832,140.87,36,96
39168,-0.673,-0.534,0.009,-51.611,-51.511,72.366,41,106
39215,-0.031,-0.634,-0.317,-30.74,-40.649,-76.391,37,105
39261,0.603,-0.865,-0.44,31.601,14.523,-72.824,29,109
39321,0.459,-0.773,-0.517,69.611,61.473,-134.473,0,102
39369,-1.202,-1.119,-0.575,128.389,110.817,-207.458,43,96
39415,-2.0,-0.661,-0.504,164.863,188.985,-188.321,46,90
39469,-2.0,-0.359,-0.158,117.435,149.947,-55.557,0,89
39523,-1.591,0.027,0.035,91.679,-26.924,-30.641,0,94
39577,-0.586,0.461,-0.242,102.443,-39.818,-22.412,0,97
39631,-0.411,0.816,0.234,60.931,8.635,-10.409,0,99
39686,-0.335,0.724,0.263,23.072,-26.824,44.023,0,100
39740,-0.788,0.459,-0.11,-79.115,-12.988,117.618,0,93
39797,-2.0,0.199,-0.305,-144.489,-0.606,148.947,0,91
39842,-2.0,-0.674,-0.74,-147.183,-127.901,127.573,46,96
