Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21252,-0.071,0.02,0.985,16.714,36.672,31.55,18,50
21296,-0.162,-0.112,1.254,45.13,9.496,52.649,20,48
21340,-0.225,-0.449,1.457,51.802,-41.916,65.458,15,49
21384,-0.136,-0.702,1.595,57.695,-64.641,65.695,20,51
21430,-0.07,-0.969,1.594,55.206,-56.061,64.237,50,57
21484,-0.079,-1.091,1.316,16.977,-39.183,47.916,169,61
21537,0.007,-1.092,0.625,-33.153,25.465,9.764,171,67
21596,0.067,-0.714,-0.125,-67.847,103.992,-9.581,171,87
21653,0.009,-0.538,-0.15,-90.969,114.435,-32.374,174,116
21702,0.26,-0.439,0.06,-106.595,137.206,-62.939,31,116
21758,0.043,-0.875,0.499,-126.527,160.267,-82.832,0,82
21815,-0.536,-2.0,0.755,-88.092,250.13,-59.908,0,82
21863,-1.45,-0.852,1.185,-10.217,250.13,-44.794,51,84
21912,-1.589,-0.42,0.947,19.401,99.244,10.745,53,91
21960,-0.82,0.452,0.443,47.015,-14.407,22.314,46,101
22009,-0.666,1.105,0.378,60.015,70.58,77.649,43,114
22076,-1.166,0.372,1.14,30.962,32.809,218.16,0,0
22130,-1.86,-1.616,0.869,3.068,-76.198,219.863,50,0
22185,-1.757,-1.846,0.599,-26.853,-79.168,144.221,57,0
22240,-1.42,-1.528,0.344,-10.874,-44.031,80.427,42,0
22294,-0.822,-1.036,0.089,34.669,-96.427,38.91,41,0
22348,-0.253,-0.689,0.099,33.916,-146.107,-0.986,42,0
22403,0.273,-0.087,-0.039,81.031,-145.527,24.087,38,0
22457,0.162,-0.288,0.287,60.656,-111.74,12.872,36,0
22511,-0.533,-0.603,0.816,44.733,-41.053,-31.092,37,0
22567,-0.788,-0.166,1.328,41.198,47.847,-14.717,35,0
22622,-1.031,0.281,1.436,-0.829,-7.247,-29.59,38,0
22676,-1.123,0.225,0.98,33.036,-56.992,39.985,37,0
22730,-0.622,0.623,0.819,30.847,-88.29,82.71,36,0
22782,-0.378,0.991,0.995,66.359,-99.611,156.45,16,0
22836,-0.66,0.581,1.257,91.427,-60.58,250.13,28,0
22890,-1.265,0.218,1.519,130.153,-45.061,233.527,22,0
22942,-0.506,0.369,1.249,166.649,-95.084,188.115,16,0
22999,-0.194,0.345,1.152,72.252,9.853,90.557,17,0
23055,0.174,-0.054,0.583,11.387,31.13,67.557,17,0
23108,-0.262,-0.346,0.583,-5.262,123.908,74.969,16,0
23160,-0.511,-0.516,0.728,30.092,62.305,65.008,18,0
23218,-0.211,0.042,0.874,35.252,-47.092,41.336,17,0
23270,0.186,0.944,0.966,-1.983,-79.168,54.901,17,0
23327,0.136,0.701,1.108,-13.676,-8.294,27.275,16,0
23379,0.02,0.826,1.362,-34.832,15.604,68.13,16,0
23436,0.31,0.178,0.81,-37.267,-54.435,48.145,17,0
23492,0.453,-0.237,0.283,22.846,8.129,34.55,17,0
23556,0.379,0.356,0.624,36.183,6.899,44.626,0,0
23612,0.303,0.571,0.834,69.061,-32.565,9.695,16,0
23665,0.709,1.251,0.956,60.985,-44.573,37.459,16,0
23721,0.739,1.342,0.919,-4.414,37.779,-20.952,10,0
23774,0.377,0.514,0.908,-6.291,78.748,-32.985,11,0
