Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
54566,-0.077,-0.736,0.317,-30.412,79.008,-43.351,0,0
54630,-0.036,-0.797,0.342,-45.069,68.542,-68.573,0,0
54693,-0.181,-1.102,0.323,-68.496,113.992,-56.137,0,0
54757,-0.645,-1.17,0.563,-57.153,108.046,-47.237,0,0
54820,-0.55,-0.862,0.354,-46.809,48.16,-42.046,0,0
54884,-0.349,-0.67,0.341,-66.702,33.939,-27.969,0,0
54947,-0.173,-0.879,0.26,-48.733,-22.316,-14.949,0,0
55014,0.06,-1.938,-0.24,-14.963,-35.305,-30.878,0,0
55077,0.322,-2.0,-0.399,-17.833,-26.951,-36.267,0,0
55141,0.406,-0.998,-0.233,-0.923,7.32,-18.802,0,0
55204,0.659,0.261,-0.329,22.893,78.763,0.161,0,0
55268,0.49,0.026,-0.105,47.473,182.985,36.809,0,0
55330,0.145,-1.379,-0.087,5.274,130.611,-27.191,0,0
55394,-0.434,-1.583,-0.154,-0.169,114.366,17.368,0,0
55457,-0.709,-0.483,0.102,-21.45,122.832,69.641,0,0
55521,-0.819,0.514,0.547,-38.443,33.458,9.17,0,0
55587,-0.983,-1.079,0.665,-55.855,-160.817,-12.591,0,0
55651,0.042,-2.0,-0.501,15.893,-185.099,-58.198,0,0
55714,0.9,-2.0,-1.067,4.617,-171.336,8.33,0,0
55778,0.367,-0.624,-0.107,-31.336,-32.72,-38.519,0,0
55841,0.295,0.199,0.006,56.336,-65.87,-17.473,0,0
55905,0.94,-0.472,-0.054,22.87,-58.84,30.603,0,0
55968,0.69,-1.526,-0.303,8.553,106.45,-49.321,0,0
56033,0.035,-1.457,-0.42,-32.244,218.756,60.756,0,0
56096,-1.174,-0.407,0.582,-1.684,151.389,57.527,0,0
56163,-0.922,0.124,0.688,-61.458,-0.975,-34.435,0,0
56226,-0.457,-0.996,0.044,-8.225,-250.137,-26.337,0,0
56290,0.53,-2.0,-0.625,26.511,-62.092,-41.634,0,0
56353,0.866,-2.0,-0.847,-11.72,-109.313,-18.802,0,0
56417,0.381,-0.152,0.023,3.536,-5.5,-45.756,0,0
56480,0.785,0.44,-0.245,46.481,22.58,-0.359,0,0
56544,1.176,-1.333,-0.506,50.496,122.664,2.373,0,0
56607,-0.154,-1.757,0.102,-28.412,117.031,-8.952,0,0
56671,-0.677,-1.13,-0.18,-46.74,220.069,89.42,0,0
56738,-0.903,-0.313,0.625,-33.588,43.802,12.415,0,0
56802,-0.798,0.067,0.861,-43.939,-139.13,-16.752,0,0
56865,0.035,-2.0,-0.456,51.855,-168.42,-35.885,0,0
56929,0.791,-1.642,-0.734,7.415,-228.374,29.458,0,0
56992,0.361,-1.051,-0.237,-5.387,2.538,-62.664,0,0
57056,0.249,0.635,0.145,29.267,-146.511,-3.687,0,0
57120,1.905,-0.17,-0.613,26.725,135.527,61.382,0,0
57184,0.136,-1.692,0.659,-15.054,210.137,-53.351,0,0
57247,0.094,-1.094,-0.795,-32.244,200.183,54.855,0,0
57314,-1.55,-0.215,0.827,-23.29,171.87,60.687,0,0
57377,-0.756,0.155,0.447,-27.969,-35.565,-26.532,0,0
57442,-0.711,-0.852,0.14,-0.185,-202.038,-9.154,0,0
57505,0.201,-2.0,-0.665,59.542,-141.168,-23.42,0,0
57569,1.775,-1.838,-0.882,-29.313,-86.489,16.673,0,0
57632,0.043,0.089,0.38,8.412,-14.138,-56.855,0,0
57696,1.13,0.644,-0.27,14.061,-19.658,28.557,0,0
