Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
49294,-0.014,-0.957,0.342,-14.318,-20.078,-12.153,0,69
49349,-0.033,-0.991,0.352,0.034,21.702,-16.45,0,69
49405,-0.02,-0.945,0.347,7.108,20.519,-15.405,0,71
49451,-0.003,-0.935,0.357,7.109,39.549,-13.145,17,71
49506,0.048,-0.969,0.321,12.008,19.107,-16.405,0,73
49562,0.082,-0.966,0.277,22.237,40.115,-13.763,0,72
49618,0.029,-0.948,0.354,21.122,45.924,-9.779,0,73
49677,0.044,-0.862,0.376,18.298,6.752,-17.926,0,74
49733,0.09,-0.898,0.346,10.283,12.264,1.887,0,76
49778,0.096,-0.862,0.372,-10.176,10.852,-9.473,9,76
49823,0.107,-0.792,0.376,-12.977,6.687,-3.535,16,76
49880,0.073,-0.8,0.412,-16.344,0.553,-2.988,0,77
49936,0.106,-0.829,0.428,-19.107,-9.26,-3.788,0,78
49992,0.117,-0.845,0.449,-15.733,-10.736,-2.872,0,78
50049,0.085,-0.871,0.394,-10.565,-9.275,8.366,0,77
50105,0.088,-0.947,0.7,9.603,-23.458,9.16,0,76
50163,0.072,-0.986,0.48,15.267,-23.924,13.702,0,76
50220,0.081,-1.06,0.449,0.644,-10.13,17.137,0,75
50276,0.011,-1.008,0.439,26.217,15.123,17.885,0,74
50331,-0.05,-0.974,0.379,19.844,-16.855,25.183,0,73
50376,-0.052,-0.984,0.312,16.122,-30.71,31.435,6,71
50433,-0.072,-0.969,0.289,17.298,-36.359,28.969,0,72
50478,-0.07,-0.988,0.25,13.489,-40.588,20.374,16,71
50534,-0.06,-0.917,0.247,-15.839,-28.466,19.756,0,74
50589,-0.095,-0.847,0.275,-4.687,-36.267,19.023,0,71
50649,-0.038,-0.839,0.255,-6.282,-27.588,9.618,0,70
50704,-0.077,-0.873,0.313,5.84,-16.664,6.2,0,70
50760,-0.079,-0.858,0.349,16.605,-6.939,22.46,0,72
50817,-0.083,-0.954,0.37,6.619,-7.71,-10.634,0,72
50872,-0.01,-1.032,0.338,-3.617,16.794,-21.611,0,72
50928,-0.033,-1.033,0.385,-7.244,29.58,-22.038,0,73
50984,0.014,-1.146,0.331,-16.107,34.847,-30.786,0,74
51041,-0.023,-0.982,0.353,-29.687,50.977,-25.252,0,74
51097,-0.069,-0.893,0.43,-19.061,14.946,-15.595,0,76
51146,0.111,-0.871,0.317,8.402,-7.099,-1.908,16,79
51203,0.169,-0.877,0.293,14.551,20.938,-1.676,0,79
51252,0.116,-0.897,0.357,10.469,35.229,1.518,81,80
51298,0.064,-0.856,0.407,-0.756,12.513,-1.006,16,80
51347,0.084,-0.788,0.393,-5.873,-16.397,2.39,76,81
51396,0.152,-0.772,0.341,-12.725,-20.603,2.695,75,81
51453,0.131,-0.815,0.373,-19.58,-6.779,-4.784,0,81
51510,0.117,-0.852,0.439,-13.611,-12.756,6.788,0,81
51566,0.098,-0.878,0.453,-8.221,-8.679,10.916,0,80
51625,0.078,-0.914,0.466,-18.316,-15.061,9.076,0,76
51671,0.074,-0.937,0.453,6.915,-16.641,13.71,6,75
51727,0.107,-0.97,0.39,12.166,15.949,18.504,0,73
51781,0.003,-1.155,0.425,6.725,36.739,11.168,0,38
51834,-0.039,-1.111,0.357,5.758,-9.284,13.26,0,29
51888,-0.054,-1.003,0.286,19.344,-16.832,30.687,0,24
51931,-0.068,-0.985,0.241,17.389,-36.847,26.344,9,23
52026,0.025,-0.857,0.115,18.043,-20.321,7.815,0,21
52079,-0.075,-0.862,0.226,18.42,-9.954,11.305,0,22
52135,-0.025,-0.821,0.243,6.822,-9.1,3.273,0,20
52189,-0.018,-0.807,0.298,6.722,8.588,-0.888,0,20
52242,-0.117,-0.876,0.427,6.836,4.39,4.262,0,21
52295,-0.069,-0.874,0.438,0.089,-23.436,-3.413,0,20
52348,-0.007,-0.99,0.391,5.266,23.947,-8.802,0,16
52405,-0.101,-1.069,0.472,-5.846,42.786,-22.924,0,16
52458,-0.064,-1.257,0.41,-9.809,44.473,-31.756,0,16
52514,0.019,-0.849,0.348,-12.96,70.382,-9.344,0,16
52568,-0.04,-0.917,0.38,5.492,72.252,10.069,0,17
52625,-0.015,-0.899,0.292,21.94,73.26,6.232,0,21
52681,-0.028,-0.764,0.295,-7.099,92.992,0.275,0,23
52736,-0.168,-0.81,0.411,-11.0,70.618,-1.992,0,32
52789,-0.106,-0.881,0.404,-3.839,30.339,-0.036,0,31
52842,-0.136,-0.826,0.368,-12.969,-8.084,-11.457,0,20
52887,-0.094,-0.808,0.339,-11.26,-11.924,-3.19,58,19
52940,-0.128,-0.826,0.372,-11.046,-9.466,-11.478,0,19
52986,-0.161,-0.898,0.395,-10.954,-7.939,2.674,60,20
53031,-0.131,-0.952,0.36,-12.659,-16.029,-6.561,52,23
53080,-0.083,-0.925,0.324,-3.248,10.573,8.893,59,26
53134,-0.138,-1.134,0.339,-11.542,30.802,9.42,0,32
53188,-0.15,-1.127,0.215,-8.282,48.618,22.18,0,36
53242,-0.426,-1.043,0.27,-23.044,33.374,-11.637,0,36
53297,-0.138,-0.982,0.279,-1.328,22.738,10.748,0,38
53351,-0.14,-1.093,0.244,-5.805,-16.863,-9.904,0,48
53405,-0.1,-0.836,0.209,10.315,-25.489,3.537,183,56
53460,-0.11,-0.833,0.207,34.795,-32.0,13.698,193,69
53516,-0.134,-0.857,0.235,18.363,-26.252,-2.624,190,65
53575,-0.13,-0.899,0.262,-0.975,-18.534,-8.947,186,70
53632,-0.114,-0.925,0.287,14.115,-3.081,-6.077,182,97
53688,-0.128,-1.033,0.323,13.527,12.292,-9.672,191,79
53740,-0.113,-1.013,0.337,31.723,43.331,-19.351,90,97
53791,-0.131,-1.119,0.333,4.601,13.177,-24.901,85,104
53838,-0.063,-1.154,0.324,-10.969,-10.971,-34.588,82,30
53886,-0.107,-0.812,0.401,-9.832,6.457,-13.382,80,42
53937,-0.047,-0.862,0.348,10.668,-32.58,8.237,144,37
53985,0.11,-0.88,0.18,18.542,-8.542,8.58,77,43
54039,0.02,-0.82,0.261,6.26,26.924,11.473,138,44
54089,-0.035,-0.811,0.321,-8.557,0.895,8.557,128,39
54136,-0.016,-0.82,0.333,-9.191,5.878,2.591,71,42
54188,-0.023,-0.828,0.356,-13.519,5.416,1.008,129,45
54237,-0.094,-0.845,0.411,-10.275,-13.603,-5.625,112,43
54287,-0.099,-0.827,0.438,-8.038,-28.374,11.411,117,45
54336,-0.068,-0.882,0.424,-10.983,-27.924,11.336,105,45
54386,-0.057,-0.987,0.426,-7.509,-11.244,8.458,102,48
54435,-0.046,-0.963,0.402,1.961,-0.841,11.0,94,66
54489,-0.131,-1.093,0.443,1.52,7.176,18.267,91,61
54537,-0.116,-1.041,0.386,-2.989,2.785,10.344,87,59
54584,-0.157,-1.043,0.336,-8.015,-8.641,13.076,83,26
54674,-0.133,-0.984,0.173,-7.897,-34.771,23.519,78,19
54720,-0.11,-1.015,0.104,3.557,-23.0,21.856,76,19
54766,-0.135,-0.818,0.151,-1.909,-11.542,7.679,74,18
54812,-0.174,-0.782,0.169,4.74,-10.756,15.45,77,17
54858,-0.164,-0.795,0.212,-1.348,-7.817,13.771,69,18
54903,-0.341,-0.778,0.21,-8.426,-7.015,14.687,65,17
54952,-0.291,-0.822,0.287,-3.288,-7.45,20.847,66,18
54998,-0.308,-0.921,0.314,-13.157,-12.802,16.244,56,18
55044,-0.268,-1.025,0.224,-2.094,-10.84,14.679,59,20
55089,-0.29,-0.943,0.288,5.051,22.42,25.443,64,22
55135,-0.315,-1.015,0.346,4.988,22.763,30.198,62,23
55180,-0.329,-1.189,0.416,0.584,28.079,23.824,63,25
55226,-0.216,-1.037,0.35,-7.527,-12.962,18.939,52,27
55271,-0.138,-0.895,0.354,-4.475,-22.252,26.519,49,16
55315,-0.096,-1.126,0.287,22.569,-24.87,13.237,56,17
55363,0.018,-1.069,0.26,15.977,-12.26,13.262,53,17
55413,0.01,-1.063,0.331,68.941,-8.031,62.193,65,111
55463,-0.012,-0.969,0.332,17.275,-16.786,-21.947,47,101
55510,-0.005,-0.818,0.29,19.405,-14.328,-40.443,62,46
55557,-0.027,-0.821,0.292,29.854,29.169,-42.305,58,43
55603,-0.038,-0.82,0.263,-5.786,20.519,-43.076,48,38
55649,-0.058,-0.794,0.303,7.971,30.275,-34.023,59,37
55696,-0.04,-0.847,0.324,3.986,31.992,-29.282,64,40
55746,-0.041,-0.859,0.386,-1.259,34.695,-26.206,66,33
55792,-0.043,-0.828,0.37,-1.329,33.893,-15.443,69,31
55847,-0.073,-0.862,0.375,-9.933,40.725,-28.216,111,29
55896,-0.083,-1.314,0.235,-7.825,63.16,-15.893,111,26
55944,-0.091,-1.063,0.207,-7.833,98.519,-21.389,111,29
55992,-0.27,-0.852,0.252,-1.79,101.435,-8.824,112,22
56039,-0.259,-0.999,0.324,-18.68,80.992,-40.32,97,22
56086,-0.129,-1.069,0.359,19.548,46.87,-23.573,95,21
56132,-0.074,-0.914,0.224,18.901,45.634,-24.527,93,23
56182,-0.068,-0.893,0.203,21.473,78.886,-12.313,92,18
56226,-0.134,-0.921,0.223,23.725,102.786,-11.489,57,17
56271,-0.37,-0.902,0.247,30.962,93.198,-14.443,50,19
56315,-0.178,-0.893,0.256,34.115,70.573,-17.252,60,18
56360,-0.168,-0.856,0.201,27.458,54.214,-20.0,50,17
56407,-0.164,-0.915,0.221,13.069,54.26,-22.046,87,14
56453,-0.322,-0.963,0.225,-8.242,57.573,-28.023,87,18
56499,-0.31,-1.0,0.239,-9.641,63.901,-37.298,87,14
56545,-0.201,-1.08,0.263,-14.786,70.145,-45.336,86,15
56594,-0.029,-1.241,0.215,-9.611,83.153,-52.863,86,16
56640,-0.159,-1.16,0.23,-16.489,101.664,-56.328,85,17
56686,-0.175,-0.895,0.306,-17.634,109.824,-40.71,86,17
56732,-0.118,-0.851,0.344,-3.501,88.076,-15.786,87,18
56779,-0.123,-0.904,0.269,10.769,67.046,-2.084,87,20
56828,-0.077,-0.786,0.229,12.005,78.534,-9.504,140,24
56878,-0.119,-0.533,0.287,9.913,77.794,5.561,136,26
56928,-0.127,-0.744,0.323,-9.313,60.878,-10.705,134,27
56980,-0.131,-0.836,0.353,-20.748,39.015,-18.015,130,29
57072,-0.147,-0.869,0.479,-28.45,33.214,-12.176,125,33
57122,-0.194,-1.087,0.481,-21.832,-35.023,2.939,122,34
57170,-0.121,-1.119,0.406,-7.822,-49.84,-1.35,118,33
57220,-0.002,-1.017,0.296,3.302,-21.008,15.687,115,33
57269,-0.122,-1.206,0.338,-8.867,8.872,10.298,112,34
57317,-0.118,-1.2,0.286,16.679,-0.533,9.435,108,34
57365,-0.07,-0.985,0.234,36.298,2.944,34.298,103,35
57413,-0.082,-0.998,0.197,39.702,17.344,48.603,99,35
57464,-0.126,-1.107,0.163,43.527,16.855,36.107,96,35
57511,-0.142,-0.982,0.168,46.466,-12.031,16.466,85,35
57559,-0.102,-0.778,0.153,43.122,-19.939,16.626,84,36
57607,-0.13,-0.762,0.152,35.466,-17.504,18.718,83,45
57654,-0.168,-0.783,0.175,29.305,-21.443,11.863,83,44
57702,-0.144,-0.781,0.166,26.359,-24.962,12.266,83,46
57750,-0.148,-0.852,0.184,16.252,-17.069,5.607,83,47
57798,-0.17,-1.022,0.217,32.565,-9.542,-9.305,82,53
57846,-0.163,-1.082,0.261,-10.924,-6.863,-22.908,82,54
57897,-0.134,-1.037,0.295,-22.076,-8.969,-28.061,81,60
57946,-0.12,-1.215,0.29,-32.405,7.729,-41.641,79,61
57995,-0.048,-0.982,0.325,-39.802,29.636,-44.053,83,62
58045,-0.021,-0.789,0.352,-30.725,23.733,-21.611,115,64
58096,-0.026,-0.866,0.361,-12.824,24.687,-0.648,113,67
58146,0.028,-0.946,0.275,28.086,38.321,19.554,110,69
58198,-0.01,-0.94,0.275,4.609,61.336,2.629,107,71
58248,-0.054,-0.802,0.309,9.073,62.107,12.599,105,74
58301,-0.141,-0.778,0.357,-16.931,37.924,-5.639,102,76
58352,-0.172,-0.823,0.409,-23.206,-23.8,-20.228,99,80
58403,-0.103,-0.81,0.384,-23.282,-38.748,-14.168,97,82
58454,-0.064,-0.878,0.365,-21.046,-48.275,-5.343,94,85
58505,-0.057,-1.066,0.385,-15.802,-44.092,-12.647,92,91
58556,0.026,-1.035,0.279,24.21,-22.603,12.082,91,97
58604,0.049,-0.915,0.225,7.209,28.397,15.061,91,44
58659,-0.126,-1.174,0.275,-11.656,62.061,7.443,0,45
58720,-0.244,-1.105,0.363,-13.031,42.985,-6.423,0,157
58777,0.101,-0.944,0.279,58.681,-17.176,19.153,0,44
58832,-0.133,-1.08,0.182,1.185,-43.221,27.931,0,46
58887,-0.085,-1.168,0.074,25.237,-41.076,13.198,0,39
58941,-0.023,-0.909,0.076,29.458,-16.489,15.023,5,11
58995,-0.072,-0.874,0.121,29.366,16.09,28.198,0,38
59043,-0.07,-0.828,0.116,38.122,-27.597,25.206,93,37
59091,-0.041,-0.765,0.089,39.947,30.96,21.115,95,36
59142,-0.099,-0.773,0.163,29.252,33.542,14.847,95,63
59197,-0.173,-0.987,0.21,16.817,24.588,15.642,0,68
59256,-0.159,-1.12,0.201,0.946,-9.499,-21.374,0,62
59313,-0.101,-1.052,0.185,8.22,27.649,-32.061,0,72
59369,-0.1,-1.174,0.152,-12.893,61.863,-49.015,0,73
59425,-0.134,-0.944,0.226,-25.534,94.313,-53.382,0,73
59482,0.006,-0.928,0.285,-21.534,85.076,-46.817,0,74
59538,-0.115,-1.0,0.206,-4.283,65.176,-31.954,0,75
59595,-0.007,-0.988,0.105,-5.125,92.969,-8.985,0,76
59695,-0.153,-0.885,0.324,-3.893,103.931,9.519,0,79
