Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
257672,0.142,-0.203,0.967,-2.051,-1.498,-1.371,10,5
257756,0.316,0.078,0.966,2.39,3.439,0.303,36,0
257841,0.27,-0.02,0.985,1.999,1.567,0.608,35,0
257925,0.326,-0.064,0.989,4.149,2.676,1.182,36,0
258009,0.196,-0.125,0.975,-6.048,0.111,-1.936,33,0
258093,0.25,-0.018,0.969,2.769,1.07,0.582,34,0
258178,0.342,0.094,0.981,6.364,2.499,1.838,37,0
258262,0.221,-0.051,0.97,0.381,-0.234,-1.611,34,0
258350,0.299,0.048,0.984,3.137,2.828,0.011,37,0
258434,0.238,-0.035,0.98,1.638,1.858,-0.908,35,0
258516,0.146,-0.16,0.982,-5.739,-5.045,-4.943,32,171
258600,0.219,-0.029,1.006,-5.269,5.863,-0.41,35,0
258685,0.24,-0.068,1.058,-27.298,14.931,5.43,34,0
258769,0.193,-0.162,1.153,-42.977,18.924,2.837,34,0
258854,0.191,-0.38,1.192,-45.42,5.16,-14.817,38,0
258937,0.161,-0.417,1.198,30.087,-21.55,-60.069,45,163
259021,0.35,-0.063,0.994,77.847,-17.74,-66.504,51,154
259107,0.137,0.036,0.665,-126.458,63.855,-82.565,22,38
259189,0.093,-0.276,1.052,148.779,-43.305,-80.672,80,120
259279,0.15,0.254,0.844,-97.481,-21.626,-64.092,0,118
259375,0.22,0.23,0.79,37.382,-44.977,-20.867,0,117
259456,0.195,-0.183,1.028,0.931,-22.634,-23.863,58,118
259535,0.232,-0.144,0.618,-28.717,-18.817,-2.636,17,36
259616,0.46,-0.333,0.979,-26.733,-27.107,9.209,59,120
259704,0.792,0.27,0.891,7.403,-22.359,37.107,0,122
259790,0.353,-0.161,0.886,3.185,-16.547,3.165,63,148
259883,0.46,-0.152,0.835,-18.015,-12.481,4.103,0,189
259973,0.42,-0.137,0.834,30.107,-36.214,6.156,0,149
260063,0.437,-0.064,0.812,-30.26,-10.85,-8.568,0,148
260156,0.486,-0.055,0.811,-38.558,-2.106,-7.199,0,192
260246,0.677,0.393,0.776,74.847,14.145,15.788,0,150
260337,0.513,-0.398,0.977,44.206,-13.679,13.233,0,174
260421,0.081,-0.737,1.132,-114.695,13.267,-24.29,65,175
260505,0.512,0.445,0.542,-35.988,0.453,-16.563,62,161
260599,0.601,0.016,0.808,32.069,-7.966,-4.002,0,175
260692,0.59,-0.089,0.757,41.318,9.986,12.282,0,193
260784,0.396,-0.354,1.005,44.684,-19.198,17.342,0,176
260876,0.42,-0.487,1.054,-34.427,4.142,-13.443,0,176
260968,0.565,0.253,0.787,-88.435,17.267,-18.489,0,177
261058,0.695,0.041,0.672,55.725,-8.84,1.658,0,154
261142,0.46,-0.769,1.118,65.916,-22.802,8.886,63,177
261227,0.465,-0.411,0.947,-141.649,12.053,-17.359,64,177
261311,0.645,0.397,0.554,-10.318,15.168,4.751,62,177
261405,0.695,-0.103,0.656,104.656,-10.924,14.122,0,177
261497,0.459,-0.813,1.164,66.13,-22.115,5.979,0,177
261581,0.412,-0.828,1.12,-94.901,9.768,-16.885,62,177
261666,0.488,0.079,0.594,-151.771,19.595,-30.947,62,177
261757,0.695,0.384,0.432,56.748,4.594,14.695,0,175
261841,0.533,-0.723,0.96,132.855,-27.206,9.424,60,176
261925,0.469,-0.992,1.118,-59.702,-4.321,-5.504,59,177
262009,0.489,0.157,0.461,-127.542,22.405,-17.916,58,176
262096,0.699,0.486,0.422,83.275,-14.038,16.819,57,175
262180,0.181,-1.022,1.174,125.542,-32.893,15.214,56,175
262264,0.21,-0.88,1.009,-141.641,-2.394,-23.588,56,176
262347,0.74,0.502,0.396,-44.962,-12.84,-18.916,55,175
262431,0.675,-0.556,1.039,154.504,-35.137,13.878,59,175
262515,0.376,-1.044,1.105,-93.382,1.23,-20.534,57,175
262599,0.695,0.07,0.495,-118.344,-4.015,-24.305,58,175
262683,0.796,-0.104,0.585,136.313,-22.901,4.468,57,173
262767,0.302,-1.021,1.106,-14.618,-24.45,4.437,57,174
262854,0.561,-0.231,0.758,-105.313,-13.664,-5.725,57,175
262938,0.931,-0.063,0.582,86.542,-20.168,6.612,57,175
263022,0.533,-1.371,1.203,67.397,-39.733,4.019,56,174
263106,0.545,-0.253,0.531,-201.55,5.594,-26.954,57,174
263189,0.948,0.599,0.161,65.458,0.031,-0.885,58,173
263273,0.724,-1.133,0.944,205.366,-29.107,27.275,57,171
263357,0.538,-0.396,0.545,-194.336,19.458,-31.779,58,174
263441,0.967,0.575,0.248,57.466,-8.443,3.879,59,174
263528,0.701,-0.83,0.853,119.458,-30.496,15.702,58,173
263612,0.899,0.182,0.451,-93.427,9.733,1.867,59,172
263696,0.869,-0.074,0.527,159.718,-38.046,26.198,59,171
263780,0.586,-1.049,1.005,-66.366,-21.49,-30.473,58,170
263864,0.999,0.723,0.124,-59.771,10.387,-15.137,62,169
263954,0.77,-0.777,0.797,148.183,-39.71,5.097,0,144
264045,0.72,-0.528,0.559,-187.519,15.099,-56.183,0,167
264136,1.194,1.008,-0.034,60.702,-11.527,4.405,0,152
264219,0.736,-0.89,0.757,176.718,-34.718,7.852,52,166
264305,0.798,-0.454,0.507,-158.725,19.052,-32.718,54,162
264388,1.146,0.811,-0.002,43.534,1.016,-13.519,54,155
264471,0.797,-0.579,0.405,111.962,-15.198,-20.169,55,161
264555,0.833,-0.129,0.468,-135.015,14.588,-46.168,56,161
264636,1.068,0.812,0.068,28.824,0.878,20.892,60,132
264718,0.893,-0.458,0.934,85.061,-17.542,14.336,57,133
264800,0.778,-0.27,0.548,-96.802,2.386,-18.733,57,133
264882,1.079,0.681,0.077,26.786,-9.511,13.718,57,133
264963,0.843,-0.431,0.756,115.74,-22.748,13.336,57,133
265048,0.87,-0.465,0.9,-54.802,-11.71,-16.71,57,135
265129,1.083,0.499,0.117,-31.412,-11.366,23.623,59,132
265220,0.853,-0.492,0.447,86.206,-19.252,25.534,0,141
265310,0.823,-0.569,0.506,-144.466,14.771,-32.779,0,134
265392,1.264,1.102,-0.259,-70.634,13.687,-13.168,61,134
265475,0.8,-0.604,0.647,201.55,-27.603,25.046,62,132
265556,0.911,0.115,0.296,-218.427,24.702,-36.771,61,132
265638,1.158,0.679,-0.03,133.137,-21.779,16.634,62,132
265723,0.639,-1.082,1.012,31.908,-16.771,3.247,61,134
265807,1.076,0.569,-0.01,-135.382,11.71,-21.763,66,158
265889,1.052,0.151,0.228,164.046,-34.489,26.374,64,133
265972,0.729,-0.632,1.072,-114.786,5.189,-31.29,67,133
266061,1.111,0.676,-0.101,133.405,-13.176,-18.947,0,131
266144,0.935,-0.28,0.312,143.74,-36.382,22.947,71,132
266227,0.912,-0.038,0.116,-159.985,9.565,-45.733,71,145
266317,1.179,0.523,-0.069,50.977,-17.641,-7.409,0,129
266407,0.862,-0.473,0.452,32.16,-14.725,-34.321,0,69
266494,1.041,0.446,0.047,-141.863,11.748,-34.359,0,77
266585,1.108,0.578,0.061,131.168,-23.015,14.534,0,129
266671,0.9,-0.341,0.411,-98.634,10.473,-26.847,0,57
266757,1.108,0.94,-0.236,-26.863,-19.956,-26.099,5,20
266844,0.945,-0.319,0.408,82.42,-15.649,15.847,0,70
266930,0.942,-0.142,0.209,-123.107,8.71,-29.565,0,56
267016,1.093,0.649,-0.062,45.504,-7.496,-6.244,0,59
267102,0.83,-0.241,0.405,4.705,-7.901,-7.014,0,62
267191,1.027,0.677,-0.14,-157.855,16.221,-28.634,0,61
267277,1.001,0.421,0.003,95.855,-9.046,9.025,0,57
267363,0.87,-0.078,0.33,41.702,-0.901,-13.447,0,56
267449,0.963,0.409,0.116,-10.796,3.94,-9.353,0,60
267535,1.045,0.432,0.168,4.52,9.16,-27.84,0,59
267621,0.824,0.398,0.171,9.413,26.092,-69.191,0,58
267707,0.839,0.518,0.159,-13.906,24.908,-41.794,0,56
267790,0.808,0.619,0.179,28.977,19.802,-57.924,155,48
267873,0.911,0.691,0.218,81.435,15.427,-16.069,152,58
267962,0.817,0.465,0.352,73.87,8.71,1.901,0,56
268044,0.75,0.538,0.268,57.696,17.069,-19.672,128,51
268126,0.756,0.592,0.362,18.86,12.63,-15.29,131,56
268208,0.724,0.812,0.323,6.172,8.892,-20.16,141,56
268291,0.678,0.734,0.289,0.12,-4.096,-1.989,141,53
268374,0.647,0.881,0.316,27.664,-8.962,19.137,144,56
268456,0.531,0.567,0.126,80.366,-18.366,50.954,144,53
268539,0.762,0.738,0.086,-57.382,-1.06,-2.764,145,56
268622,0.682,1.133,-0.146,-43.198,1.572,-6.014,145,57
268708,0.75,1.248,0.04,58.019,-7.702,29.641,146,58
268791,0.616,0.313,0.375,32.908,10.061,15.183,144,57
268874,0.858,0.389,0.117,-36.908,12.221,-3.149,144,56
268957,1.013,0.903,0.049,-10.593,2.996,-6.647,155,55
269042,0.846,0.315,0.388,25.634,-4.356,26.931,183,50
269125,0.681,-0.329,0.595,-3.214,-4.393,6.688,154,55
269211,0.883,0.35,0.079,-197.802,10.673,-29.214,0,50
269294,1.033,1.734,-0.44,-21.807,2.161,-11.526,154,53
269380,0.737,-0.371,0.562,213.229,-14.275,49.542,0,47
269469,0.769,-0.378,0.37,-236.916,10.756,-31.13,0,50
269554,1.031,1.678,-0.492,-76.595,21.291,-23.458,183,53
269640,0.959,0.431,0.187,230.328,-9.069,47.252,0,55
269726,0.614,-0.6,1.202,-31.443,9.078,-15.466,0,51
269811,0.962,1.256,-0.252,-163.466,0.673,-34.702,0,49
269898,0.865,0.734,-0.161,184.405,-14.786,36.115,0,52
269983,0.712,-1.009,0.973,-135.794,20.359,-18.359,0,45
270066,1.088,2.0,-0.674,-135.053,13.397,-38.443,154,49
270153,0.827,0.102,0.354,250.13,-14.817,48.252,0,52
270246,0.654,-0.783,0.951,-117.214,8.039,-15.74,0,52
270330,0.931,1.495,-0.3,-167.107,9.389,-27.008,177,50
270414,0.869,0.369,0.191,227.641,-10.176,20.0,0,43
270499,0.722,-0.121,0.452,-224.504,15.328,-48.511,0,46
270583,1.083,1.891,-0.412,34.901,-0.645,2.94,187,42
270667,0.625,-0.454,0.502,149.321,-12.725,29.679,0,41
270749,0.799,0.642,0.054,-227.786,17.45,-52.679,153,42
270831,0.983,1.156,-0.158,159.931,-6.276,32.107,154,48
270919,0.557,-0.553,0.683,-61.616,-0.572,-10.266,0,46
271003,0.812,0.998,0.083,-145.74,11.313,-26.191,0,46
271088,0.924,0.72,0.167,152.611,-9.237,28.176,0,47
271173,0.656,-0.114,0.606,-101.16,-2.598,-14.672,0,47
271258,0.975,1.492,-0.169,-30.137,17.931,-13.901,0,50
271342,0.631,-0.252,0.672,112.153,-10.168,29.214,0,48
271427,0.811,0.824,0.059,-191.679,15.382,-47.191,0,49
271512,0.859,0.824,0.117,187.374,-17.298,43.466,0,39
271597,0.658,-0.135,0.615,-128.137,10.137,-31.511,0,48
271684,1.015,1.508,-0.156,-68.13,-1.018,-19.912,0,41
271768,0.582,-0.345,0.644,128.252,-7.878,33.473,0,41
271851,0.838,1.024,-0.017,-197.863,19.145,-53.145,168,39
271934,0.787,0.635,0.227,210.237,-18.275,49.504,168,45
272018,0.756,0.01,0.493,-175.427,13.626,-50.954,194,37
272103,0.907,1.343,-0.095,85.939,-8.908,27.061,0,46
272187,0.621,-0.402,0.817,45.703,4.501,3.632,0,38
272269,0.91,1.396,-0.165,-112.718,11.221,-21.382,158,46
272353,0.732,0.1,0.512,171.374,-4.391,29.076,180,41
272440,0.692,0.506,0.383,-188.458,18.305,-40.55,0,43
272525,0.912,1.365,-0.049,74.763,5.653,33.655,0,45
272610,0.573,-0.323,0.871,91.496,-4.432,22.817,0,46
272695,0.83,1.226,-0.087,-211.183,15.145,-42.008,0,48
272779,0.803,0.82,0.132,216.809,-17.038,42.481,0,37
272862,0.573,-0.41,0.731,-75.206,9.656,-20.802,159,47
272944,0.843,1.459,-0.133,-108.397,9.71,-14.244,161,37
273026,0.831,0.598,0.313,145.176,-11.321,32.603,159,44
273111,0.638,-0.298,0.851,-57.527,6.324,-11.952,147,46
273193,0.827,1.332,-0.044,-66.359,-12.65,-36.786,160,44
273275,0.627,-0.271,0.702,126.908,-9.725,20.382,147,46
273357,0.807,1.092,0.034,-185.786,17.389,-34.214,146,45
273442,0.758,0.607,0.261,204.519,-18.145,38.458,0,49
273527,0.714,-0.315,0.576,-171.695,16.176,-42.344,0,40
273611,0.981,1.524,-0.17,42.301,6.294,7.13,0,37
273696,0.502,-0.548,0.963,157.71,-13.49,30.244,0,46
273781,0.793,1.11,-0.008,-247.183,23.817,-41.015,0,48
273866,0.799,1.144,0.032,190.313,-18.542,36.344,146,44
273951,0.607,-0.432,0.938,-72.557,-2.475,-24.466,0,48
274034,0.895,1.35,-0.054,-66.992,-2.911,-10.928,154,51
274120,0.667,-0.058,0.58,139.084,-8.672,19.275,0,56
274204,0.759,0.85,0.11,-250.137,27.26,-53.977,190,39
274285,0.829,1.193,-0.002,205.351,-13.176,39.847,154,37
274370,0.531,-0.59,1.079,-54.252,11.626,-16.053,0,36
274455,0.883,1.558,-0.078,-116.962,15.527,-13.023,0,36
274537,0.658,0.398,0.514,204.221,-13.069,31.252,171,36
274625,0.689,-0.082,0.758,-167.626,15.221,-33.573,0,36
274710,0.92,1.522,-0.071,46.405,2.036,14.176,0,36
274794,0.452,-0.635,1.147,119.176,-0.207,20.634,0,36
274879,0.738,1.156,0.007,-244.534,28.122,-48.573,0,35
274963,0.804,0.678,0.305,250.13,-20.71,56.557,0,36
275048,0.569,-0.554,0.919,-211.84,21.939,-45.305,0,37
275130,0.943,2.0,-0.212,-13.385,8.84,-11.823,159,35
275215,0.505,-0.418,0.999,175.298,-12.137,52.0,0,35
275302,0.689,0.472,0.359,-220.382,22.275,-46.13,0,36
275387,0.825,1.274,0.183,92.58,24.256,18.092,0,38
275472,0.55,-0.091,0.993,39.763,11.324,24.137,0,36
275558,0.695,0.679,0.414,-105.321,22.824,-49.689,0,56
275642,0.639,0.632,0.503,30.595,4.235,45.908,0,37
275727,0.626,0.434,0.566,-39.641,-3.345,55.626,0,37
275815,0.704,0.352,0.547,39.313,-2.568,83.382,0,101
275903,0.726,0.306,0.478,43.031,21.015,88.191,0,105
275992,0.611,0.302,0.484,27.244,26.099,88.443,0,109
276084,0.665,-0.011,0.548,99.802,21.107,85.58,0,119
276173,0.486,0.239,0.574,0.106,49.084,55.855,0,109
276262,0.524,0.242,0.818,40.237,45.038,40.893,0,112
