Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
233768,0.028,0.14,1.004,14.616,6.627,0.621,0,0
233861,0.008,0.111,0.981,7.589,1.02,-1.396,0,0
233954,0.007,0.116,1.001,9.473,6.742,-1.54,0,0
234047,-0.01,0.102,1.013,5.5,7.077,-3.537,0,0
234140,-0.023,0.07,1.004,-32.664,-1.665,-10.87,0,0
234233,-0.042,0.011,0.928,-109.713,-29.087,-30.873,0,0
234327,-0.076,-0.041,0.871,132.061,8.506,-27.234,0,0
234420,-0.128,0.305,0.612,198.458,58.756,-27.276,0,0
234516,-0.179,0.789,-0.011,173.214,146.947,-73.198,0,0
234609,-0.673,0.768,0.169,-250.137,215.038,-139.252,0,0
234702,-1.705,-2.0,0.754,250.13,-118.435,-164.893,0,0
234792,-0.492,2.0,-2.0,-250.137,249.611,-134.183,0,134
234882,-0.995,-2.0,0.897,250.13,-114.298,99.573,0,133
234972,-0.678,1.55,-1.957,-250.137,166.145,-124.756,0,136
235066,-0.445,0.8,-1.573,250.13,-156.061,177.214,0,0
235156,-1.607,-2.0,1.715,-250.137,-13.668,-95.435,0,141
235253,0.201,2.0,-1.432,-250.137,128.878,1.328,0,0
235343,-0.979,-0.484,-0.315,250.13,-190.588,86.496,0,140
235433,-1.184,-1.755,0.358,-250.137,71.214,-135.901,0,142
235524,1.002,2.0,-0.838,37.328,-4.091,51.405,0,142
235615,-1.148,-2.0,1.056,250.13,-160.931,44.427,0,145
235708,-0.755,0.212,-0.734,-250.137,134.008,-135.908,0,189
235801,0.952,2.0,-0.819,205.244,-50.985,58.0,0,188
235894,-1.035,-2.0,1.173,250.13,-124.237,37.275,0,187
235988,-0.998,-1.919,0.731,-250.137,55.344,-125.496,170,186
236082,0.116,2.0,-0.445,-212.221,60.672,-21.903,0,185
236172,-0.851,0.758,0.228,250.13,-172.756,91.229,0,148
236264,-1.097,-2.0,1.282,-250.137,62.603,-59.771,172,186
236357,0.116,2.0,-0.233,-226.038,69.748,-9.471,0,185
236449,-0.837,-0.561,0.394,250.13,-110.977,56.863,0,184
236541,-0.753,-1.843,1.133,-250.137,78.481,-44.176,174,186
236635,0.604,2.0,-0.129,-53.716,45.802,22.344,0,184
236727,-0.775,-1.201,0.966,250.13,-113.42,63.954,0,184
236823,-0.34,0.469,0.525,-250.137,113.084,-93.45,0,186
236916,-0.391,-0.814,0.466,250.13,-160.931,114.397,0,188
237009,-0.699,1.588,-1.405,-250.137,235.405,-63.763,0,189
237104,-0.168,-2.0,-1.285,250.13,-195.053,164.473,0,0
237197,-0.895,-0.976,-1.421,-250.137,172.252,-118.611,0,192
237291,2.0,2.0,-2.0,250.13,46.901,124.763,0,0
237384,-1.852,-2.0,2.0,250.13,-194.153,-119.0,0,192
237478,-0.09,2.0,-2.0,-250.137,250.13,-141.382,0,192
237576,-0.511,-1.584,-1.636,250.13,-250.137,87.954,0,0
237669,-1.055,-2.0,-0.391,-250.137,224.374,-160.137,0,194
237763,2.0,2.0,-2.0,250.13,-210.587,120.656,0,0
237856,-1.281,-2.0,2.0,-65.076,-136.817,-250.137,0,191
237949,0.566,2.0,-1.74,-250.137,206.099,20.924,0,191
238044,-1.621,-2.0,0.948,250.13,-250.137,42.298,0,191
238137,-0.656,0.964,-2.0,-250.137,250.13,-121.71,0,187
238231,1.069,-0.78,-2.0,250.13,-230.412,180.344,0,0
238327,-2.0,-2.0,1.737,-250.137,49.656,-218.42,0,194
238419,2.0,2.0,-2.0,126.504,161.947,53.16,161,0
238507,-1.634,-2.0,2.0,230.687,-217.099,-194.137,0,87
238601,1.213,2.0,-2.0,-250.137,250.13,13.263,0,0
238695,-1.373,-2.0,1.9,250.13,-250.137,-78.884,0,195
238788,-1.428,2.0,-1.621,-250.137,250.13,-130.023,5,59
238882,1.388,-0.923,-1.667,250.13,-131.305,178.748,0,0
238977,-1.339,-2.0,1.713,-250.137,139.79,-134.779,0,199
239068,0.652,2.0,-1.936,13.103,237.504,39.847,0,87
239162,-1.5,-2.0,2.0,-59.397,-183.802,26.294,0,0
239253,1.065,2.0,-1.784,-206.557,250.13,28.024,38,0
239346,-1.345,-2.0,2.0,-50.504,-182.275,-139.023,0,0
239424,2.0,2.0,-2.0,-142.947,250.13,-106.588,35,106
239517,-1.823,-2.0,2.0,-162.099,-172.695,-198.229,0,0
239595,2.0,2.0,-2.0,-250.137,250.13,-140.649,35,93
239679,-2.0,-2.0,2.0,-56.321,-73.45,-41.004,39,0
239757,2.0,2.0,-2.0,183.275,-30.847,52.481,35,101
239838,-2.0,-0.885,2.0,-172.55,161.023,40.878,33,110
239916,2.0,1.478,-1.773,250.13,-250.137,161.374,35,100
239993,-2.0,-0.835,1.219,-250.137,250.13,-26.725,33,96
240071,-0.087,-0.483,-2.0,250.13,-250.137,157.977,38,94
240155,-1.653,-0.843,-0.501,-250.137,250.13,-117.069,40,0
240233,-1.187,-2.0,-2.0,250.13,-250.137,43.336,33,94
240317,-1.062,0.397,-2.0,-250.137,250.13,-215.695,38,0
240410,-1.636,-2.0,-2.0,250.13,-250.137,67.641,0,0
240506,-2.0,-2.0,-0.174,-250.137,177.771,-140.198,0,0
240590,2.0,2.0,-2.0,250.13,135.779,179.924,38,0
240684,-1.889,-2.0,2.0,-250.137,-122.794,-199.267,0,0
240760,2.0,2.0,-2.0,77.568,250.13,41.29,36,91
240854,-1.456,-2.0,2.0,-250.137,-119.267,-224.687,0,0
240931,0.675,2.0,-1.629,-250.137,250.13,-81.412,37,99
241025,-1.143,-2.0,2.0,52.084,-155.924,-115.802,0,0
241103,0.135,2.0,-1.072,-250.137,250.13,-80.489,36,102
241200,-0.824,-2.0,1.772,250.13,-209.916,-89.092,0,0
241293,-0.166,0.8,-0.421,-250.137,250.13,-60.046,0,0
241380,0.264,-0.696,-0.478,250.13,-129.061,96.557,0,93
241473,-1.276,-0.802,0.357,-250.137,193.13,-105.237,0,0
241560,1.718,1.57,-1.143,250.13,-41.603,123.443,0,89
241653,-1.777,-2.0,2.0,-250.137,32.229,-154.855,0,0
241737,2.0,2.0,-1.612,172.046,61.305,42.962,40,0
241821,-1.845,-2.0,2.0,-225.55,-18.034,17.031,40,0
241908,2.0,2.0,-1.952,250.13,-78.969,112.206,41,0
242001,-2.0,-2.0,2.0,-113.321,46.313,80.389,0,0
242091,2.0,2.0,-1.691,250.13,85.817,46.931,172,147
242174,-2.0,-2.0,2.0,-188.481,-33.122,51.954,37,0
242253,1.353,1.05,-0.385,250.13,-112.084,72.763,35,121
242337,-0.875,1.136,0.431,-250.137,155.115,77.183,32,0
242417,0.503,-1.487,0.467,250.13,-187.863,0.505,31,125
242510,-0.796,2.0,-1.283,-250.137,250.13,-73.183,0,0
242593,-0.109,-1.426,-0.389,250.13,-250.137,85.282,31,0
242680,-0.256,0.51,0.243,-250.137,250.13,-69.313,34,0
242760,-1.549,0.055,0.171,250.13,-208.427,80.84,36,129
242844,0.443,-0.22,0.116,-250.137,202.42,22.779,30,0
242929,-1.385,-0.039,0.7,250.13,-182.439,45.763,32,0
243013,0.864,-1.052,0.325,-250.137,95.886,-120.336,29,0
243094,-2.0,2.0,0.324,40.427,59.069,55.834,35,152
243174,1.333,0.054,-0.254,179.313,-171.412,65.511,35,127
243259,-2.0,1.378,0.67,-250.137,135.626,-13.648,34,0
243346,0.259,-1.075,-0.436,250.13,-250.137,23.336,35,0
243430,-1.033,1.377,-1.807,-250.137,250.13,-167.901,36,0
243524,-1.72,-2.0,1.032,250.13,-250.137,-161.092,0,0
243608,-0.768,1.278,-1.171,-250.137,250.13,-141.282,37,0
243690,-0.443,-1.426,-1.197,250.13,-250.137,47.969,39,149
243775,-0.751,1.043,-0.728,-250.137,250.13,-133.595,39,0
243857,-0.135,-1.57,-0.448,250.13,-250.137,25.176,41,148
243938,-1.19,1.852,-0.82,-250.137,221.656,-126.962,43,145
244032,-0.649,-2.0,0.974,250.13,-250.137,-115.145,0,143
244114,-1.043,1.926,-1.067,-250.137,250.13,-74.824,45,142
244198,-0.852,-2.0,0.6,250.13,-250.137,-54.718,42,0
244283,-0.872,2.0,-0.708,-250.137,238.145,-118.229,42,0
244377,-0.758,-1.451,0.92,250.13,-250.137,32.789,0,0
244464,1.073,2.0,-1.454,145.557,-73.489,51.389,172,123
244544,-1.603,-0.943,0.913,-250.137,240.237,-57.099,44,107
244626,0.322,0.333,-0.89,250.13,-178.527,102.427,45,141
244711,-1.079,0.664,-0.377,-250.137,236.489,-83.299,42,0
244799,0.27,-0.478,-0.533,250.13,-217.122,62.664,46,0
244884,-1.056,1.162,-0.329,-250.137,199.718,-133.939,50,0
244970,0.293,-1.538,0.552,250.13,-157.779,20.098,51,0
245055,-1.298,0.985,-0.635,-250.137,197.122,-67.977,51,0
245140,-0.136,-0.918,-1.265,250.13,-250.137,102.779,51,0
245226,-1.332,0.544,-0.714,-250.137,236.198,-43.771,48,0
245311,-0.136,-1.052,-0.663,250.13,-193.588,98.092,46,0
245396,-1.072,1.132,-0.683,-250.137,250.13,-57.664,48,0
245484,-0.614,-1.406,-0.222,250.13,-250.137,47.725,44,0
245569,-1.022,1.849,-0.443,-250.137,250.13,-49.557,41,0
245654,-0.115,-1.222,0.558,250.13,-250.137,17.015,38,0
245739,-0.836,2.0,-0.417,-250.137,250.13,-13.026,43,0
245823,-0.719,-2.0,1.761,250.13,-250.137,-114.168,25,0
245908,0.777,2.0,-0.925,-184.076,250.13,-39.041,45,0
245992,-0.832,-2.0,2.0,-190.244,-126.107,-133.71,26,0
246077,2.0,2.0,-1.077,250.13,42.39,40.359,45,0
246165,-1.892,-1.032,1.039,-250.137,92.405,-53.557,37,0
246250,0.548,0.355,-2.0,250.13,-250.137,105.275,40,0
246334,-1.528,0.401,-0.617,-250.137,250.13,-57.718,36,0
246419,-0.789,-1.441,-0.997,250.13,-250.137,51.771,33,0
246504,-0.397,1.153,-0.836,-250.137,250.13,-144.824,39,0
246589,-0.873,-1.7,0.337,250.13,-250.137,88.921,41,0
246674,-0.127,1.613,-1.536,-250.137,250.13,-162.931,42,0
246763,-1.035,-2.0,2.0,250.13,-250.137,-158.435,0,119
246852,-0.137,2.0,-1.662,-250.137,250.13,-99.42,41,0
246946,-1.159,-2.0,1.998,250.13,-246.908,-94.069,0,0
247031,-0.211,2.0,-0.945,-250.137,250.13,-110.053,43,0
247121,-0.924,-2.0,1.315,250.13,-250.137,-71.061,128,0
247206,-0.053,2.0,-1.205,-250.137,250.13,-128.542,45,0
247297,-0.989,-2.0,2.0,250.13,-250.137,-75.504,127,0
247391,0.601,2.0,-1.511,-250.137,250.13,-120.672,0,0
247485,-0.919,-2.0,2.0,250.13,-250.137,-118.145,0,0
247570,-0.035,2.0,-1.324,-250.137,250.13,-112.969,45,0
247662,-0.793,-2.0,2.0,181.214,-209.214,-250.137,0,107
247756,2.0,2.0,-1.844,-75.84,250.13,12.771,0,0
247841,-0.767,-2.0,2.0,-206.466,-34.855,-250.137,37,0
247936,2.0,2.0,-2.0,250.13,34.771,191.992,0,0
