Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
28500,-0.076,0.097,0.953,-12.644,-24.787,1.186,120,0
28542,-0.092,0.013,1.06,7.612,8.13,14.18,120,0
28598,-0.107,0.123,1.078,12.516,1.693,5.626,119,0
28653,-0.135,0.183,0.982,2.372,4.569,-0.32,119,0
28708,-0.283,0.211,1.091,-5.867,-0.321,13.242,119,0
28750,-0.714,0.298,1.28,5.217,-32.519,50.901,118,0
28806,-1.114,0.426,1.559,40.557,41.473,58.832,116,0
28861,-0.723,-0.259,0.894,108.374,19.426,218.779,110,0
28913,-0.112,-0.405,1.025,59.214,-44.58,250.13,104,0
28965,0.65,-0.215,0.731,58.977,-117.084,200.817,58,0
29016,0.923,0.107,0.538,51.863,-71.099,157.542,19,0
29067,0.912,0.077,0.446,30.985,54.29,116.496,50,0
29119,0.481,0.089,0.681,30.275,118.168,92.962,47,0
29169,0.193,0.039,0.765,45.611,117.221,85.679,30,0
29219,0.005,0.244,0.987,39.481,63.344,66.069,18,0
29268,0.071,0.394,1.021,16.804,10.957,22.39,17,0
29321,0.207,0.532,0.927,18.664,31.099,-0.299,16,0
29371,0.17,0.603,0.831,39.015,68.931,24.962,16,0
29421,-0.019,0.572,0.852,32.282,69.695,35.29,29,0
29472,-0.07,0.57,0.893,23.382,32.939,37.824,51,0
29524,0.027,0.493,0.925,17.336,-29.29,33.74,51,0
29575,0.21,0.4,0.845,24.443,-74.382,17.854,29,0
29626,0.431,0.499,0.777,31.489,-58.328,13.138,30,0
29675,0.514,0.668,0.754,34.015,-17.445,3.763,23,0
29727,0.425,0.732,0.674,31.359,8.47,2.008,50,0
29778,0.316,0.706,0.598,29.351,26.023,-3.066,50,0
29834,0.21,0.692,0.615,22.809,30.351,-13.471,51,0
29885,0.163,0.613,0.754,15.212,12.678,-27.244,51,0
29937,0.344,0.63,0.748,20.443,-27.641,-66.855,53,0
29989,0.557,0.693,0.925,33.634,-68.534,-127.359,53,0
30042,0.652,0.857,0.691,31.878,-108.725,-226.931,58,0
30094,0.324,0.902,0.501,-24.427,-42.641,-250.137,64,0
30147,-0.233,0.219,0.185,-38.473,98.87,-250.137,71,0
30203,-1.14,-0.429,0.692,0.632,122.015,-250.137,123,0
30260,-1.577,-0.173,0.675,18.718,-111.947,-235.435,127,0
30319,-0.556,0.548,0.552,-47.702,-197.382,-156.008,127,0
30376,-0.562,0.309,0.835,-37.046,-24.118,-96.702,159,0
30422,-0.952,0.088,1.028,-33.489,-29.385,-71.588,157,0
30479,-0.83,0.173,0.965,-37.817,-143.863,-62.076,154,0
30529,-0.279,0.061,0.837,-40.87,-148.679,-40.282,8,0
30578,0.002,-0.159,0.908,-37.473,-73.748,-13.778,9,0
30627,0.059,-0.093,0.909,-27.229,-76.985,-26.822,9,0
30688,0.034,-0.078,0.995,-25.908,-62.802,-17.602,0,0
30741,-0.038,-0.273,1.111,-33.061,-71.611,-27.679,16,0
30793,0.26,-0.181,1.001,-16.513,-71.855,-5.902,51,0
30854,0.204,-0.226,1.04,-14.646,-75.481,-30.763,0,0
30914,0.212,-0.176,0.852,-3.422,-1.521,-24.03,0,0
30964,0.063,-0.209,0.98,-20.727,-39.618,-11.13,10,0
31013,0.209,-0.301,0.881,-19.796,-69.45,-1.373,10,0
