Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33132,-0.744,-0.713,0.16,1.357,51.718,-108.206,149,89
33177,-1.324,-0.927,0.182,5.525,69.275,-125.58,50,87
33222,-1.703,-0.713,0.19,24.977,77.824,-127.802,43,81
33267,-1.757,-0.42,0.213,29.802,69.489,-80.771,53,87
33321,-1.396,0.052,0.22,26.405,38.847,-38.74,0,93
33376,-0.997,0.51,0.289,28.011,13.351,12.656,0,106
33430,-0.604,0.66,0.285,-80.833,-26.573,79.374,0,96
33478,-0.681,0.504,0.143,-65.176,-45.534,154.733,44,96
33523,-1.183,0.231,-0.311,-113.588,-22.748,191.328,49,91
33568,-2.0,-0.332,-0.335,-120.198,-17.908,177.305,39,92
33613,-2.0,-0.547,-0.465,-99.267,-105.183,176.305,36,94
33658,-1.415,-0.673,-0.441,-83.214,-75.122,138.992,32,97
33703,-0.734,-0.493,-0.249,-73.519,-3.363,70.351,44,103
33750,-0.42,-0.443,0.051,-67.015,58.644,182.279,40,112
33795,-0.133,-0.446,-0.024,-58.031,10.057,-79.878,31,108
33841,0.159,-0.466,-0.037,-43.832,9.877,-122.42,41,109
33889,0.022,-0.553,-0.077,-22.023,4.286,-133.847,41,101
33934,-1.448,-0.901,-0.336,-3.579,27.237,-150.672,35,96
33979,-2.0,-0.924,-0.033,80.908,81.794,-136.198,40,96
34025,-2.0,-0.661,0.112,105.473,98.489,-57.863,50,101
34071,-1.681,-0.428,0.259,88.176,38.481,-25.908,49,106
34126,-0.754,0.124,0.114,69.687,28.566,-31.244,0,104
34181,-0.55,0.603,0.09,23.779,8.273,0.184,0,104
34237,-0.292,0.846,0.199,-51.13,-6.403,47.63,0,123
34295,-0.671,0.76,-0.0,-124.405,-47.771,99.069,0,111
34340,-1.754,0.26,-0.71,-148.046,-20.336,142.595,50,97
34386,-2.0,-0.637,-0.8,-144.863,-28.74,119.863,45,98
34433,-2.0,-0.678,-0.466,-132.321,-60.916,103.183,47,103
34478,-1.38,-0.625,-0.406,-110.084,-52.756,84.29,44,99
34524,-0.548,-0.43,-0.395,-95.122,-32.099,71.389,34,103
34570,0.069,-0.556,-0.24,-67.992,-38.71,28.962,37,111
34615,0.488,-0.647,-0.292,-120.092,-39.656,-89.93,31,108
34664,0.252,-0.616,-0.379,23.954,-38.934,-51.344,32,111
34709,-0.953,-0.887,-0.357,71.176,16.322,-133.985,31,106
34754,-2.0,-0.838,-0.338,78.107,123.435,-174.786,35,95
34800,-2.0,-0.404,0.121,55.954,116.229,-73.038,46,98
34846,-1.907,-0.32,0.044,47.061,-19.921,-56.611,47,97
34900,-0.758,0.214,-0.055,53.252,-23.649,-42.817,0,106
34956,-0.519,0.541,0.044,33.817,35.397,-29.794,0,108
35011,-0.378,0.681,0.306,-80.727,-16.58,-65.9,0,104
35066,-0.48,0.684,0.176,-54.611,-43.267,66.313,0,102
35116,-1.377,0.537,-0.644,-125.267,6.883,116.557,48,98
35161,-2.0,-0.612,-1.061,-141.771,5.341,87.886,47,87
35206,-2.0,-0.594,-0.569,-144.038,-76.847,124.427,39,99
35261,-1.227,-0.804,-0.565,-128.351,-65.015,103.931,0,103
35316,-0.271,-0.602,-0.009,-114.168,-16.42,46.0,0,107
35362,0.356,-0.706,-0.198,-77.901,-21.481,-22.649,36,117
35408,0.463,-0.745,-0.395,57.7,23.331,-83.153,43,106
35454,-0.068,-0.735,-0.145,45.771,14.97,-110.802,41,102
35503,-1.819,-1.113,-0.325,107.847,72.649,-152.176,42,105
35592,-2.0,-0.442,0.382,76.13,74.886,-12.02,47,94
35638,-1.41,-0.31,0.026,97.977,-23.038,-29.359,48,98
35684,-0.656,0.262,-0.42,108.008,-45.466,-25.359,51,100
35730,-0.502,0.752,0.053,65.74,35.069,10.336,48,107
35777,-0.41,0.844,0.208,2.836,-1.69,13.846,50,108
35823,-0.5,0.694,0.201,-62.992,-36.099,84.664,50,104
35869,-1.193,0.3,-0.293,-83.901,-38.855,150.649,46,97
35914,-2.0,-0.113,-0.138,-84.718,8.629,110.26,38,95
35972,-2.0,-0.884,-0.444,-35.878,-36.565,86.42,0,98
36018,-1.279,-0.511,-0.152,-51.458,-43.748,112.183,47,101
36064,-0.483,-0.135,-0.031,-68.679,-24.519,51.374,34,107
36110,-0.081,-0.429,-0.375,-56.695,-30.374,-67.901,29,101
36156,0.488,-0.439,-0.376,-32.87,-65.763,-43.977,40,115
36201,0.354,-0.647,-0.45,-71.601,-70.976,-82.206,27,103
36247,-0.927,-1.114,-0.379,78.275,68.328,-126.0,28,101
36292,-2.0,-1.262,-0.105,160.718,210.092,-130.237,37,95
36349,-2.0,-0.308,0.759,108.603,140.565,-57.679,0,91
36405,-1.555,-0.096,-0.236,120.702,-22.824,-72.382,0,102
36460,-0.711,0.677,-0.176,117.611,56.084,-33.87,0,110
36507,-0.579,0.832,0.167,65.29,58.176,-23.861,47,99
36553,-0.37,0.657,0.339,4.944,-5.483,57.847,51,98
36600,-0.431,0.487,0.154,-46.863,-24.069,108.611,45,120
36645,-1.451,0.255,-0.425,-93.206,-15.365,147.511,45,92
36690,-2.0,-0.554,-0.267,-100.45,-19.901,109.802,36,89
36745,-2.0,-0.754,-0.393,-63.931,-84.13,85.855,0,85
36794,-1.249,-0.459,-0.09,-39.977,-16.435,70.122,32,97
36840,-0.702,-0.347,0.025,-37.733,4.283,42.267,44,100
36886,-0.195,-0.406,-0.125,-22.344,-18.809,14.618,43,103
36941,0.369,-0.569,-0.294,-26.303,-23.489,-25.466,0,103
36986,0.233,-0.682,-0.344,49.702,12.111,-70.153,30,102
37042,-0.69,-0.741,-0.127,117.16,27.557,-118.366,0,96
37087,-2.0,-0.978,-0.431,208.481,125.58,-187.565,34,89
37133,-2.0,-0.877,0.157,145.565,125.58,-60.679,45,83
37190,-1.731,-0.687,-0.222,126.962,-122.342,-56.542,0,87
37236,-0.655,0.357,-0.315,134.031,48.673,-37.779,47,97
37292,-0.39,0.703,-0.076,101.794,52.275,-21.248,0,98
37346,-0.308,0.636,0.166,40.962,31.405,-9.94,0,95
37401,-0.67,0.5,0.167,-26.84,-15.018,82.099,0,92
37446,-1.873,0.218,0.153,-77.962,35.992,128.313,47,99
37492,-2.0,-0.943,-0.344,-54.031,-30.321,111.221,51,88
37547,-2.0,-0.772,-0.113,-38.71,-46.656,111.611,0,84
37592,-0.957,-0.477,-0.0,-45.0,-32.122,63.557,36,87
37640,-0.286,-0.491,-0.18,-33.153,-31.298,24.771,29,90
37694,0.145,-0.579,-0.109,11.219,-27.435,20.994,0,86
37750,0.266,-0.692,-0.367,53.076,-21.786,-0.824,0,103
37794,-0.384,-0.847,-0.275,147.237,9.604,-50.573,30,82
37838,-1.791,-0.794,-0.405,221.893,75.153,-131.282,31,76
37882,-2.0,-0.342,-0.15,197.641,160.794,-131.099,33,73
37927,-2.0,-0.085,0.107,130.168,39.779,-66.344,46,74
37982,-1.268,0.215,-0.196,134.573,-53.061,-63.573,0,78
38080,-0.27,0.966,0.077,91.092,62.863,-129.512,43,7
38118,-0.322,0.821,0.267,8.128,1.01,40.366,46,7
38172,-0.661,0.454,0.162,-30.748,-47.417,102.695,0,77
38217,-1.754,0.115,-0.196,-67.84,58.061,162.847,47,79
38272,-2.0,-1.082,-0.279,-47.794,-30.718,105.275,0,84
38317,-1.988,-0.649,0.018,-26.672,-44.313,84.374,32,92
38363,-0.909,-0.446,0.011,-34.588,-24.824,40.031,42,96
38409,-0.47,-0.426,0.02,-33.069,-39.237,-44.442,32,98
38464,-0.027,-0.503,-0.222,-36.476,-55.122,-24.695,0,101
38513,0.516,-0.505,-0.474,65.328,-47.359,-36.534,31,104
38559,0.112,-0.701,-0.316,115.458,30.539,-74.802,40,98
38604,-1.57,-1.276,-0.701,185.595,64.107,-160.565,34,96
38650,-2.0,-0.665,-0.361,169.534,169.687,-151.901,49,87
38705,-2.0,-0.174,0.239,102.481,90.504,-45.336,0,93
38760,-1.232,0.062,0.009,129.313,-24.718,-53.794,0,94
38815,-0.463,0.603,-0.242,130.008,35.893,-36.931,0,95
38871,-0.385,0.877,0.247,79.374,56.344,102.037,0,104
38929,-0.587,0.616,0.24,-69.21,-34.604,68.779,0,94
38983,-1.064,0.341,-0.007,-65.061,-7.603,150.649,0,90
39029,-2.0,-0.5,-0.076,-111.344,-29.435,160.435,47,90
39075,-2.0,-0.586,0.029,-94.588,-92.832,165.763,38,94
39121,-1.433,-0.652,-0.079,-74.924,-75.832,140.87,38,97
39168,-0.673,-0.534,0.009,-51.611,-51.511,72.366,41,101
39215,-0.031,-0.634,0.019,-30.74,-40.649,49.58,38,108
39261,0.603,-0.865,-0.44,23.649,7.074,-72.824,29,108
39321,0.459,-0.773,-0.517,69.611,61.473,-134.473,0,102
