Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36841,-2.0,-0.033,-0.158,-108.511,-35.901,185.939,43,98
36886,-2.0,-0.643,-0.373,-70.069,-81.107,189.412,37,90
36930,-1.89,-0.69,-0.267,-58.397,-88.198,199.366,34,95
36975,-1.162,-0.728,-0.169,-63.847,-68.847,158.076,33,104
37021,-0.554,-0.714,-0.249,-62.0,-41.679,91.802,41,108
37066,-0.126,-0.654,-0.375,-58.679,-0.405,121.692,31,108
37117,0.077,-0.595,-0.277,-47.511,42.794,-62.893,121,111
37166,0.006,-0.551,0.024,-20.069,36.992,-113.71,33,106
37211,-0.61,-0.649,0.216,108.867,45.708,-148.42,34,103
37256,-1.696,-0.881,-0.157,101.702,99.733,-204.282,38,101
37301,-2.0,-0.487,0.143,116.84,198.809,-103.168,48,94
37355,-2.0,-0.253,0.338,88.031,84.221,-59.153,0,92
37410,-0.733,0.13,0.095,63.824,-45.939,-37.664,0,102
37465,-0.579,0.427,-0.029,40.565,-22.015,-34.313,0,107
37520,-0.413,0.664,0.184,45.417,-12.71,35.484,0,104
37577,-0.625,0.72,0.104,-40.58,-30.725,59.405,0,102
37632,-1.15,0.569,-0.261,-114.634,-35.58,166.053,0,95
37678,-2.0,-0.611,-0.641,-142.145,-8.06,147.863,47,93
37723,-2.0,-0.815,-0.465,-128.275,-56.206,127.832,44,96
37769,-1.262,-0.63,-0.315,-118.924,-35.985,82.603,39,109
37814,-0.681,-0.498,-0.186,-119.718,-21.996,33.947,33,104
37859,-0.167,-0.511,-0.155,-113.55,9.763,44.927,38,109
37914,0.278,-0.691,-0.159,-75.557,-21.046,-43.13,0,108
37960,0.369,-0.787,-0.231,-2.724,-43.919,-79.038,43,105
38008,-0.423,-0.729,-0.124,101.534,6.424,-141.817,42,102
38055,-2.0,-0.729,-0.143,130.901,123.405,-165.359,48,113
38110,-2.0,-0.052,0.236,81.603,128.786,-30.786,0,102
38156,-1.713,-0.398,0.132,35.16,-75.252,-43.259,49,99
38203,-0.666,-0.022,0.085,52.87,-65.824,17.966,49,106
38257,-0.316,0.291,-0.059,49.71,-5.373,-6.036,0,103
38312,-0.198,0.528,0.196,135.553,27.84,68.768,0,113
38368,-0.348,0.738,0.225,-54.321,-28.26,-6.089,0,106
38417,-1.482,0.639,-0.303,-141.863,-32.26,101.076,47,97
38462,-2.0,0.197,-0.496,-169.221,35.572,126.794,47,95
38507,-2.0,-0.847,-0.599,-152.733,-51.282,99.389,37,96
38552,-1.854,-0.765,-0.403,-138.672,-87.748,99.901,34,97
38598,-0.994,-0.711,-0.239,-116.809,-39.763,61.573,43,103
38644,-0.323,-0.563,-0.176,-85.221,-20.374,25.427,38,108
38700,0.216,-0.684,-0.205,-48.931,4.032,-7.487,0,110
38755,0.38,-0.539,-0.2,70.082,5.461,-50.0,0,109
38801,-0.449,-0.615,-0.039,85.206,-39.076,-103.603,44,103
38849,-1.689,-0.61,-0.238,135.504,99.45,-145.763,36,103
38895,-2.0,-0.22,0.295,107.183,157.947,-55.099,49,106
38943,-2.0,-0.664,0.421,42.985,-13.562,-25.244,49,130
38989,-1.174,-0.012,-0.045,56.298,-31.466,-35.855,46,107
39045,-0.463,0.349,0.012,59.397,45.412,-28.076,0,104
39091,-0.349,0.616,0.125,-18.395,63.908,-22.489,47,103
39146,-0.385,0.686,0.243,-42.573,11.613,-7.826,0,108
39201,-0.818,0.397,-0.132,-127.504,-28.511,59.87,0,101
39259,-2.0,0.227,-0.281,-160.275,8.005,128.221,0,94
39348,-1.844,-0.827,-0.322,-80.824,-43.275,105.389,50,100
39393,-1.269,-0.49,-0.247,-80.489,-20.481,73.916,33,104
39449,-0.317,-0.514,-0.17,-71.733,-41.977,37.221,0,113
39504,0.312,-0.602,-0.252,-11.863,-32.321,-25.137,0,110
39560,0.54,-0.493,-0.307,48.092,-101.916,-62.756,0,110
39615,-0.351,-0.644,-0.259,96.382,44.847,-116.794,0,100
39661,-2.0,-0.763,-0.384,184.702,111.29,-145.901,47,95
39718,-2.0,-0.084,0.013,128.053,132.557,-22.0,0,95
