Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
28909,-0.468,-1.218,-0.133,18.954,-94.959,40.359,0,92
28960,-0.05,-1.084,0.019,26.0,-53.992,25.412,0,31
29023,-0.117,-0.86,-0.107,21.313,-30.693,32.382,0,183
29076,-0.163,-0.824,-0.047,0.177,1.555,45.74,0,78
29135,-0.297,-0.941,-0.025,-12.137,-5.162,42.176,0,194
29188,-0.133,-0.807,0.149,-0.763,-7.949,17.542,0,54
29243,-0.254,-0.958,-0.047,-22.76,-25.93,-12.904,0,50
29297,-0.165,-0.93,0.103,-7.499,5.77,-45.237,0,34
29351,-0.248,-1.142,0.116,-7.885,14.137,-74.153,0,44
29404,-0.459,-1.284,0.242,-20.918,1.964,-96.45,0,57
29458,-0.347,-1.406,0.326,-10.227,-2.535,-92.992,0,39
29509,-0.388,-1.041,0.139,20.359,-22.577,-67.519,0,39
29564,-0.089,-0.341,0.139,40.153,17.099,43.419,0,42
29616,-0.09,-0.712,0.039,14.794,48.672,53.664,0,44
29671,-0.029,-1.192,0.096,22.13,84.115,39.901,0,45
29722,-0.245,-1.044,-0.084,37.603,100.397,1.31,0,50
29777,-0.248,-0.624,0.023,-0.511,111.023,23.244,0,53
29833,-0.226,-0.789,0.198,-29.496,70.099,30.641,0,59
29885,-0.453,-0.921,0.248,-26.733,2.31,15.608,0,58
29940,-0.365,-0.96,0.148,-31.893,-79.282,-26.86,0,51
29992,-0.315,-0.977,0.127,-40.794,-65.038,-22.412,0,49
30049,-0.206,-1.0,0.165,-35.962,-55.71,-20.137,0,69
30101,-0.061,-1.201,0.198,7.345,78.682,25.339,0,57
30157,-0.403,-1.49,0.187,-26.064,-25.317,-20.397,0,62
30212,-0.174,-1.268,0.166,19.405,57.996,18.525,0,94
30268,-0.012,-0.465,-0.28,35.71,23.359,53.939,0,63
30324,-0.033,-0.762,-0.29,-20.195,131.443,76.115,0,67
30376,-0.534,-1.156,-0.013,50.469,123.71,62.031,0,71
30432,-1.35,-0.708,0.688,-54.924,-179.473,-20.489,0,36
30483,-0.367,-0.753,-0.525,-87.366,-250.137,-56.015,0,35
30537,1.006,-1.095,-1.002,35.977,-106.137,-61.771,0,25
30588,0.192,-0.599,-0.327,88.786,234.153,-31.548,0,33
30643,-0.941,-0.662,0.752,-38.802,150.725,-19.701,0,43
30697,0.462,-1.527,-0.625,21.397,84.954,57.132,0,35
30753,-0.007,-0.816,-0.326,101.954,250.13,41.649,0,56
30804,-1.916,-0.763,1.081,42.366,-198.794,-54.573,0,40
30860,-0.057,-1.593,-0.604,-69.405,-250.137,-51.153,0,45
30912,0.693,-0.355,-0.558,97.466,180.504,-18.992,0,52
30967,-0.684,-0.052,0.623,28.855,215.878,67.962,0,50
31020,-0.135,-1.394,-0.29,41.255,88.435,66.435,0,54
31076,-0.239,-1.14,-0.683,101.107,250.13,52.802,0,60
31129,-2.0,-0.164,1.277,-81.191,-250.137,-40.26,0,64
31184,0.41,-1.233,-1.399,-72.366,-250.137,51.897,0,53
31240,0.965,-0.632,-0.959,122.115,250.13,20.901,0,56
31294,-1.631,-0.634,0.925,-33.42,250.13,-27.695,0,73
31347,-0.923,-0.903,0.316,-51.985,-204.099,-82.863,0,75
31400,0.536,-1.095,-0.806,80.863,-70.527,-26.87,0,69
31457,-1.047,-0.659,0.941,-77.847,261.336,-54.725,0,58
31509,-0.532,-1.229,-0.498,-106.779,-250.137,-13.841,0,50
31564,0.702,-1.466,-0.865,71.466,50.0,-14.248,0,40
31659,-0.995,-0.267,0.809,-90.397,-224.061,16.228,0,41
31693,0.256,-1.805,-0.936,17.337,-250.137,21.656,0,41
31746,0.45,-1.299,-0.925,101.29,14.389,-51.092,0,44
31801,-0.959,-0.219,0.899,-62.656,52.038,-66.107,0,43
31852,-0.593,-1.103,-0.274,-90.679,-250.137,30.878,0,44
31908,1.438,-1.173,-1.408,72.229,70.382,-19.924,0,45
31961,-0.316,-0.476,-0.666,55.313,250.13,-25.217,0,55
32017,-2.0,-1.011,1.396,-40.282,118.588,11.051,0,61
32070,-0.461,-1.254,-0.1,-59.389,-250.137,16.221,0,64
32125,0.811,-1.207,-1.007,52.802,58.763,-60.214,0,53
32182,-0.817,-0.925,0.828,-15.704,99.145,-12.977,0,61
32235,-0.129,-1.698,-0.017,-31.702,-88.817,25.669,0,58
32290,-0.088,-1.181,0.286,59.359,87.427,-29.992,0,56
32344,-0.396,0.109,0.717,-29.802,-116.771,96.26,0,56
32399,0.836,-1.637,-1.114,28.916,-106.216,37.412,0,56
32452,-0.95,-0.943,0.293,79.473,205.267,-42.351,0,68
32505,-0.675,-0.83,0.71,-44.542,-225.695,64.351,0,60
32562,0.923,-1.286,-1.024,64.16,12.763,-114.137,0,65
32619,-1.014,0.13,0.936,-56.603,165.511,19.053,0,77
32672,-0.823,-1.697,-0.013,-48.603,-250.137,60.221,0,62
32729,0.175,-0.772,-0.29,35.305,32.641,-122.053,0,63
32782,-0.671,-0.533,0.854,-62.71,-63.168,36.191,0,70
32835,0.443,-1.67,-0.873,-10.823,15.153,0.875,0,71
32889,-0.925,-0.439,0.42,-5.288,217.58,30.235,0,76
32944,-1.13,-0.761,0.823,-121.053,-250.137,82.13,0,87
32998,0.967,-2.0,-1.527,4.441,-69.718,-108.153,0,84
33053,-0.104,-0.507,0.336,31.817,223.725,-57.611,0,93
33112,-0.566,-0.902,0.348,-50.115,-68.244,89.405,0,95
33167,-0.671,-1.167,-0.171,48.901,-84.221,-45.359,0,97
33221,-0.527,-0.75,0.081,-79.092,-250.137,17.573,0,88
33274,0.626,-1.253,-1.321,49.55,-7.566,-97.382,0,72
33330,-0.515,-0.042,0.641,-34.919,34.412,88.351,0,92
33384,-0.063,-2.0,-0.812,-29.282,-88.489,20.565,0,80
33438,-0.418,-0.659,-0.064,32.603,169.038,-73.046,0,83
33494,-0.647,-0.741,0.747,-70.771,-212.649,119.603,0,97
33549,0.512,-1.543,-1.082,52.664,21.008,-55.603,189,65
33603,-0.765,-0.676,1.003,64.135,36.282,33.371,0,66
33655,-0.439,-1.497,-0.09,-36.397,-250.137,116.718,192,70
33710,0.31,-1.307,-0.486,40.389,81.038,-87.305,0,75
33762,-0.206,-0.022,0.896,31.194,17.702,30.35,169,78
33816,0.223,-1.229,-0.569,14.244,-106.702,27.664,0,87
33870,0.051,-0.914,-0.544,72.947,246.099,-95.725,0,85
33924,-1.024,-0.54,0.82,-54.916,28.275,112.206,168,89
33977,-0.063,-1.876,-0.575,-26.618,-203.397,51.405,163,97
34033,-0.412,-0.702,0.35,31.695,55.626,-85.321,159,98
34088,-1.203,-0.335,0.797,-70.137,-250.137,70.26,0,103
34144,1.432,-2.0,-1.477,-27.051,-231.206,-18.42,187,111
34196,-0.131,-0.655,0.307,23.466,250.13,-65.756,132,112
34248,-1.05,-0.546,0.965,-67.634,22.511,109.672,126,115
34300,0.293,-1.746,-0.89,20.771,64.284,26.427,121,121
34401,-0.793,-0.814,0.206,-88.718,-250.137,54.397,0,136
34459,1.001,-1.346,-1.14,42.076,113.482,-79.519,159,194
34515,-0.775,-0.571,1.025,-47.74,137.229,40.328,99,147
34568,-0.567,-1.685,-0.284,-14.361,-74.763,-71.847,94,154
34622,0.02,-0.482,0.131,108.649,122.351,-61.344,85,0
34663,-1.39,-0.842,0.762,-58.061,-211.359,39.847,80,0
34720,-0.675,-1.286,-0.486,-54.565,-250.137,39.443,138,0
34764,0.776,-1.219,-0.992,14.733,-101.145,8.648,133,0
34825,-0.244,-0.55,0.262,7.472,65.107,23.031,0,179
34881,-0.036,-1.353,0.084,24.415,-135.786,42.183,0,130
34935,0.283,-0.687,-0.548,104.374,248.351,-53.649,118,149
34992,-1.236,-0.721,1.12,-78.145,-199.093,20.092,113,147
35043,-0.023,-1.493,-0.333,33.073,-246.496,38.359,109,118
35094,-0.033,-0.733,0.259,37.863,-67.053,15.226,105,120
35151,-0.155,-0.792,0.502,-79.542,-207.977,22.824,0,125
35209,0.951,-1.621,-0.859,41.626,102.244,-1.693,0,129
35260,-0.731,-0.751,0.129,14.168,250.13,27.519,90,131
35311,-1.158,-0.126,1.35,-92.237,-125.992,71.947,85,146
35369,0.42,-1.774,-1.028,24.939,-250.137,-1.337,0,141
35424,-0.152,-0.8,0.007,49.206,119.733,-115.824,83,142
35475,-0.421,-0.685,0.541,-58.42,-43.635,97.702,71,148
35526,0.048,-1.415,-0.479,26.29,45.122,38.076,75,150
35577,-0.686,-0.422,0.224,0.592,179.092,-19.328,63,163
35629,-0.997,-0.468,1.022,-129.695,-206.122,57.504,68,156
35682,0.462,-2.0,-1.347,3.338,-197.817,-32.366,0,51
35732,-0.426,-0.177,0.579,-11.473,107.008,-80.908,60,53
35784,-0.568,-0.603,0.541,-111.733,-91.13,25.443,0,59
35840,-0.25,-1.269,-0.432,28.008,-8.133,15.763,0,62
35895,-0.689,-0.407,0.753,-71.962,-189.328,42.26,0,62
35948,0.485,-1.638,-1.074,-38.405,-61.031,-26.221,0,68
36004,-0.207,-0.773,-0.231,12.275,250.13,33.511,0,71
36058,-1.067,-1.155,0.603,-108.954,36.542,104.679,0,79
36112,-0.542,-1.237,-0.429,15.038,-99.405,-106.031,0,85
36165,-0.398,-0.36,0.166,10.542,-185.244,-65.826,0,89
36219,-0.061,-1.235,-0.5,-54.679,-185.641,53.908,0,97
36275,-0.129,-0.777,-0.282,-43.84,-68.687,19.653,0,104
36333,-0.053,-0.773,0.284,-55.382,-92.237,72.42,0,115
36388,0.062,-1.584,-0.632,93.237,35.069,-82.206,0,118
36440,-0.55,-0.434,0.192,41.519,115.252,-21.242,0,28
36494,-0.555,-0.779,0.582,-89.641,-96.203,118.351,0,30
36544,-0.145,-1.696,-0.514,57.344,-12.609,-88.374,0,34
36599,-0.302,-0.617,0.107,52.359,42.046,-41.26,0,37
36651,-0.344,-1.204,0.393,-85.466,-67.65,80.786,0,41
36711,0.128,-1.43,-0.658,72.26,135.122,-54.969,0,150
36763,-1.159,-0.252,0.89,-3.755,139.893,-23.302,0,49
36818,-0.521,-0.738,0.234,-56.435,-246.534,47.618,0,59
36874,0.489,-1.21,-1.111,108.611,9.224,-76.191,0,58
36926,-0.376,-0.359,0.228,-18.591,163.176,38.405,0,59
36982,-0.611,-1.388,-0.004,-47.771,24.702,38.87,0,64
37036,-0.111,-0.845,-0.229,63.992,77.969,32.267,0,70
37132,-0.505,-1.155,-0.178,-58.863,-150.206,-18.259,0,76
37185,-0.037,-1.046,-0.406,42.313,22.885,-26.844,0,81
37239,-0.14,-0.367,0.316,-24.244,113.267,73.702,0,84
37296,-0.849,-1.552,-0.285,-40.926,69.908,-70.527,0,87
37347,-1.051,-1.026,0.269,-18.593,-88.695,-37.198,144,93
37399,-0.447,-1.251,-0.199,-56.634,-194.618,50.779,0,44
37454,0.236,-0.696,-0.415,22.282,-33.989,-98.511,0,40
37505,-0.739,-0.751,-0.437,11.16,112.992,-59.099,156,63
37553,-0.864,-0.833,0.138,-77.282,-56.649,114.687,150,49
37602,-0.097,-1.663,-0.353,-31.267,-194.336,3.263,145,50
37654,0.054,-0.721,-0.322,69.756,47.5,-170.275,0,50
37709,-0.097,-0.576,-0.119,23.74,43.901,-3.873,0,53
37762,-0.233,-0.683,0.444,-83.359,11.473,132.947,133,66
37810,-0.407,-1.788,-0.394,41.092,32.26,-99.634,129,57
37863,-0.553,-0.657,-0.256,97.244,48.626,-102.038,0,72
37910,-0.673,-0.521,-0.056,-96.733,-80.13,95.626,97,66
37962,-0.049,-1.819,-0.251,-68.557,-98.886,58.099,0,73
38017,-0.1,-1.736,-0.773,91.771,154.305,-120.084,0,77
38070,-1.245,-0.403,1.108,-60.374,-55.679,-22.649,0,84
38125,0.415,-0.824,-0.109,-28.29,-226.832,28.763,0,93
38182,0.56,-0.564,-0.228,143.565,57.939,-42.931,0,101
38238,-0.42,-0.833,-0.083,11.042,166.496,64.344,0,102
38293,-0.63,-1.293,0.27,-101.496,-28.889,119.695,0,103
38347,0.348,-1.233,-0.393,59.099,18.443,70.165,0,96
38402,-0.492,-0.356,-0.225,65.076,151.053,-27.611,0,97
38457,-1.107,-0.75,0.502,-102.336,-59.133,55.534,0,98
38512,0.176,-1.407,-0.263,12.321,-131.496,-29.357,0,102
38567,-0.04,-0.571,-0.256,85.74,98.641,-111.679,0,105
38623,-0.899,-0.585,0.471,-102.779,23.053,19.13,0,107
38682,-0.104,-1.649,-0.419,-9.389,-46.893,33.924,0,125
38737,-0.35,-0.79,-0.395,87.214,139.374,-35.069,0,114
38795,-1.466,-1.205,0.698,-114.511,-53.962,-23.211,0,139
38851,0.484,-1.406,-0.63,39.374,-179.618,29.786,0,125
38908,0.091,-0.217,-0.012,99.481,117.504,-35.45,0,128
38965,-0.802,-0.97,0.224,-106.26,-46.688,62.481,0,135
39022,0.122,-1.509,-0.562,18.427,-142.527,-26.359,0,138
39079,-0.023,-0.289,-0.065,95.71,62.519,-27.42,0,143
39138,-0.675,-0.921,0.479,-95.886,-100.244,62.565,0,95
39192,0.377,-1.549,-0.961,82.969,32.885,-44.962,0,90
39250,-1.009,-0.103,0.648,-110.911,120.313,-37.343,0,152
39305,-0.536,-1.224,-0.319,-66.886,-188.115,18.84,0,88
39360,0.333,-1.209,-0.918,111.489,65.748,-26.71,0,93
39418,-1.217,-0.74,0.986,-62.382,104.015,-4.17,200,166
39473,-0.392,-2.0,-0.3,26.052,-120.275,-23.221,0,86
39529,-0.144,-0.153,0.275,90.336,14.16,-36.313,0,109
39583,-0.586,-0.266,0.79,-84.679,-175.435,48.145,0,95
39642,0.603,-1.917,-1.178,66.71,-46.601,3.518,0,105
39697,-0.538,-0.391,0.395,42.573,188.763,-8.9,0,107
39753,-0.418,-0.827,0.329,-66.214,-30.958,65.55,0,121
39812,0.285,-0.987,-0.841,97.099,129.038,47.542,0,151
39908,-0.655,-1.223,0.103,-78.42,-146.954,-41.824,0,65
39961,0.081,-0.821,-0.618,116.374,24.282,-65.916,0,69
40014,-0.975,-0.332,0.806,-82.16,53.168,-18.511,0,63
40074,-0.11,-1.69,-0.372,-33.641,-79.901,-26.817,0,170
40126,-0.159,-0.436,0.093,68.916,103.527,1.479,140,54
40178,-0.941,-0.837,0.533,-121.908,-53.985,34.992,0,56
40230,-0.072,-2.0,-0.875,-30.863,-125.252,-74.588,0,49
40285,0.112,-0.345,0.252,120.275,84.756,-71.595,0,82
40344,-1.0,-0.332,0.68,-91.679,19.954,35.58,196,170
40392,-0.286,-1.872,-0.495,-29.817,-181.061,-12.86,116,60
40444,0.028,-0.94,-0.439,93.802,4.832,-36.519,0,50
40497,-0.79,-0.414,0.709,-74.13,-156.809,33.244,0,56
40550,0.566,-1.624,-0.987,15.511,-71.244,19.107,0,61
40604,-0.516,-0.27,0.312,36.924,146.481,23.924,0,33
40665,-0.814,-0.813,0.286,-76.504,-128.107,25.87,199,0
40712,0.305,-1.068,-0.839,94.489,58.931,18.679,195,0
40759,-1.085,-0.531,0.958,-37.55,53.069,21.604,114,42
