Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
22428,-1.251,0.625,-0.504,-94.748,5.901,50.244,140,98
22474,-0.766,0.618,-0.434,-134.206,-32.962,92.916,50,98
22520,-1.177,0.488,-0.4,-166.595,-34.031,114.908,15,29
22571,-0.519,0.528,-0.407,-187.916,-33.565,127.84,134,96
22619,-0.839,0.562,-0.913,-190.344,-21.98,131.901,96,98
22666,-1.311,1.032,-1.127,-155.992,51.099,142.794,95,73
22715,-1.5,0.28,-1.164,-140.863,40.251,119.947,93,103
22768,-1.207,-0.102,-0.767,-130.786,25.519,50.611,128,106
22817,-0.522,-0.681,-0.372,-130.122,28.298,-56.389,91,117
22864,-0.195,-0.619,-0.253,-110.901,26.275,-143.863,89,79
22912,-0.013,-0.547,-0.196,-95.74,51.687,-164.817,90,78
22960,-0.4,-0.294,-0.194,-62.802,74.076,-156.611,94,99
23008,-0.998,-0.038,-0.479,14.016,140.779,-176.656,100,93
23057,-1.914,-0.142,-0.583,26.267,159.901,-119.618,142,62
23112,-2.0,0.166,-0.146,23.137,93.527,-79.542,146,169
23171,-1.574,-0.084,-0.192,-5.725,-23.207,-43.42,146,169
23223,-0.923,0.086,-0.121,53.145,7.823,-23.686,145,97
23274,-1.01,0.348,-0.424,48.771,-0.308,-51.976,145,96
23325,-1.147,0.601,-0.187,-100.503,-46.475,69.611,145,92
23370,-0.414,0.315,-0.417,-93.779,-45.855,146.534,65,91
23416,-1.467,0.206,-0.868,-89.656,-32.84,150.649,72,88
23462,-1.663,0.053,-1.157,-91.847,-49.794,159.206,58,91
23511,-1.573,-0.14,-0.899,-94.313,-50.71,134.573,86,96
23557,-0.626,-0.254,-0.498,-86.718,-54.679,82.557,60,102
23610,-0.321,-0.293,-0.341,-42.977,-22.16,-16.45,112,105
23659,-0.113,-0.372,-0.173,-40.687,-14.557,-94.069,127,79
23709,0.042,-0.566,0.096,-7.013,19.097,-138.473,128,103
23760,-0.026,-0.538,-0.204,48.779,59.298,-140.336,132,98
23812,-1.037,-0.587,-0.674,136.893,147.893,-151.611,138,91
23862,-2.0,-0.022,-0.938,184.542,160.13,-84.931,144,89
23909,-2.0,0.265,-0.62,115.74,73.008,22.053,146,11
23955,-1.514,0.162,-0.434,77.427,-60.788,43.878,145,11
24004,-0.473,0.209,-0.311,74.481,-26.962,48.229,141,12
24055,-0.366,0.626,-0.16,74.176,-54.532,31.053,139,92
24099,-0.206,0.948,-0.199,-18.64,24.511,33.099,99,16
24150,-0.473,0.778,-0.194,-95.702,38.855,50.053,141,91
24201,-1.593,0.594,-0.841,-149.74,39.885,47.55,144,88
24251,-2.0,0.334,-1.316,-168.779,-51.679,90.046,129,89
24302,-1.703,0.037,-1.098,-146.87,-63.45,112.489,140,93
24349,-1.414,-0.36,-0.556,-104.595,-44.847,114.412,53,100
24398,-0.402,-0.521,-0.288,-37.542,-36.244,82.13,56,105
24445,-0.116,-0.679,-0.141,18.451,-29.389,29.232,52,107
24492,-0.059,-0.696,-0.194,34.427,-24.046,-48.16,57,106
24539,-0.17,-0.54,-0.301,54.153,-12.072,-61.588,49,101
24585,-0.643,-0.601,-1.009,122.886,50.206,-117.954,58,95
24635,-1.759,0.095,-1.103,158.511,160.656,-112.756,142,90
24687,-2.0,0.556,-0.71,124.611,99.427,-73.473,146,94
24739,-1.614,0.961,-0.496,99.229,0.354,-6.03,52,0
24792,-0.619,0.989,-0.27,78.45,28.162,68.359,59,0
24833,-0.464,0.648,0.363,45.618,1.185,79.634,57,0
24922,-0.88,0.189,-0.203,-56.099,-78.847,103.656,72,93
24973,-1.095,0.167,-0.806,-69.87,-75.947,106.603,138,94
25023,-1.264,0.391,-0.979,-62.122,-32.366,100.939,107,97
25072,-1.164,0.141,-0.887,-47.733,-18.84,53.504,102,102
25121,-0.926,0.282,-0.521,-59.0,-13.762,24.802,100,104
25170,-0.522,0.335,-0.202,-41.786,8.912,50.907,98,106
25220,-0.276,-0.326,-0.143,-26.933,-19.237,-76.252,97,108
25273,-0.003,-0.51,-0.286,-33.799,-8.753,-114.42,98,105
25322,-0.261,-0.588,-0.202,54.143,35.962,-87.031,100,100
25371,-1.075,-0.629,-0.551,117.611,59.534,-98.527,105,94
25420,-1.997,-0.428,-0.999,198.847,74.863,-110.145,108,92
25469,-2.0,0.838,-0.951,168.252,69.504,-37.069,109,98
25515,-1.681,0.142,-0.698,130.84,-47.457,-34.712,107,9
25563,-0.828,0.369,-0.497,121.534,-35.74,5.398,103,96
25612,-0.429,0.616,-0.267,110.702,-21.099,1.035,98,95
25664,-0.185,0.93,-0.229,75.359,-20.359,-6.235,94,96
25710,-0.216,1.069,-0.328,-95.985,12.802,-17.63,94,67
25754,-1.044,0.9,-0.741,-107.733,65.824,21.198,96,9
25798,-2.0,0.365,-1.146,-192.351,27.565,50.359,106,12
25847,-2.0,-0.37,-1.323,-244.176,-82.565,96.115,105,90
25896,-1.425,-0.654,-1.18,-194.878,-100.031,101.557,101,95
25945,-0.768,-0.703,-0.742,-114.542,-30.176,57.29,96,71
25993,-0.321,-0.658,-0.361,-52.534,-36.423,-33.542,93,104
26042,0.006,-0.783,-0.281,-52.924,-27.427,-61.748,91,103
26093,0.192,-0.629,0.844,36.908,-49.061,-115.137,92,75
26140,-0.256,-0.615,-0.401,100.969,88.126,-145.603,96,70
26189,-1.79,-0.485,-1.288,198.344,171.84,-135.122,102,92
26245,-2.0,-0.415,-0.797,145.725,152.824,-44.135,105,0
26294,-1.602,0.03,-0.526,80.168,-28.29,-23.448,104,93
26342,-0.673,0.27,-0.51,58.924,-22.198,8.661,86,95
26391,-0.381,0.503,-0.156,46.481,35.702,20.021,99,96
26440,-0.377,0.795,-0.044,24.679,-22.037,3.691,98,98
26492,-0.238,0.979,-0.221,-33.504,-20.812,17.16,102,95
26541,-1.125,0.94,-0.783,-146.267,50.168,35.183,104,91
26591,-2.0,0.262,-1.46,-226.771,-4.829,46.351,108,92
26640,-2.0,-0.149,-1.712,-250.137,-130.366,115.939,107,92
26689,-1.192,-0.746,-1.302,-228.595,-103.504,131.13,103,98
26739,-0.534,-0.657,-0.813,-150.947,-1.418,76.046,119,88
26790,-0.21,-0.614,-0.42,-110.481,5.04,-2.561,119,107
26842,0.013,-0.738,-0.068,-79.557,-18.29,-56.168,120,108
26893,0.02,-0.715,0.003,-25.763,-58.542,-93.756,123,105
26937,-0.499,-0.673,-0.36,77.13,-22.206,-143.779,44,99
26988,-1.68,-0.603,-1.144,157.252,150.886,-147.366,133,100
27043,-2.0,0.241,-0.651,146.634,202.0,-40.679,136,158
27095,-1.571,0.258,-0.205,65.244,0.641,-41.981,135,97
27146,-0.862,0.542,-0.207,29.328,-27.763,-48.786,133,96
27197,-0.481,0.947,0.363,70.146,26.42,3.977,134,98
27249,-0.385,1.091,0.863,-94.779,95.178,22.143,133,98
27302,-1.194,1.031,-0.68,-189.641,-62.313,-29.733,134,133
27358,-1.626,0.676,-2.0,-250.137,-110.817,-5.613,135,109
27452,-1.176,-0.364,-1.762,-250.137,-27.534,64.733,128,99
27503,-1.138,-0.582,-1.107,-228.611,-18.725,52.656,123,104
27555,-0.159,-0.749,-0.516,-177.313,-1.904,27.145,120,112
27607,0.298,-0.835,0.684,-100.107,49.526,-38.779,121,110
27658,0.238,-0.697,-0.32,-128.275,-45.945,-127.26,123,105
27710,0.016,-0.765,-0.29,50.328,83.427,-205.366,130,98
27764,-2.0,-0.609,-0.937,90.992,162.893,-192.023,136,144
27822,-2.0,-0.056,-0.744,35.055,64.565,-98.893,139,144
27876,-1.385,-0.438,-0.63,-69.495,-50.573,-53.817,137,148
27929,-0.313,0.237,-0.503,41.968,-37.466,66.132,135,115
27980,-0.574,0.421,-0.118,22.352,-35.809,20.992,134,102
28034,-0.362,1.234,-0.248,-50.511,-58.924,-22.466,134,122
28087,-0.786,1.113,-0.804,-229.26,-27.198,-27.282,137,122
28139,-1.93,-0.003,-1.746,-250.137,-76.901,-40.019,138,100
28191,-1.747,-0.518,-2.0,-250.137,-184.26,39.817,138,95
28244,-1.083,-0.83,-1.583,-239.16,-103.771,48.534,127,78
28296,-0.217,-0.884,-1.009,-191.183,-26.557,79.216,123,101
28347,0.204,-0.926,-0.46,-125.718,29.498,-47.74,122,103
28398,0.314,-0.796,0.148,-46.198,47.167,-121.206,127,100
28450,-0.059,-0.606,0.049,11.359,50.405,-140.061,136,96
28502,-1.199,-0.965,-0.546,79.511,73.389,-126.771,143,91
28560,-2.0,-0.987,-0.752,58.092,104.076,-49.466,148,0
28605,-1.841,-0.717,-0.45,32.382,32.191,38.525,150,0
28665,-1.498,-0.531,-0.523,33.794,-85.689,34.45,147,184
28718,-0.93,-0.235,-0.324,32.031,-17.725,50.901,141,95
28775,-0.221,0.601,0.106,42.333,3.619,33.084,137,99
28825,-0.069,0.897,-0.612,-36.366,-34.451,24.794,136,96
28876,-0.313,0.695,-0.281,-101.855,20.758,18.765,136,94
28926,-1.538,0.229,-1.35,-175.718,45.153,9.861,139,90
28976,-2.0,-0.449,-1.773,-245.015,-25.481,56.679,114,85
29024,-1.656,-0.747,-1.599,-250.137,-93.794,96.015,108,89
29072,-0.333,-0.808,-1.068,-198.725,-26.412,86.405,102,93
29123,-0.396,-0.769,-0.563,-127.901,-66.118,50.626,98,98
29172,-0.049,-0.794,-0.567,-80.015,-17.692,-77.806,95,100
