Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26425,-0.083,-1.01,0.143,-0.878,-1.256,1.252,39,129
26475,-0.092,-1.003,0.148,-0.802,-3.855,0.687,39,175
26521,-0.098,-1.036,0.151,0.252,-7.351,1.099,39,128
26571,-0.06,-0.999,0.116,0.42,2.046,1.702,40,176
26618,-0.095,-0.991,0.152,1.435,1.496,1.863,40,129
26664,-0.108,-0.984,0.156,1.611,-5.221,1.954,40,129
26712,-0.061,-0.96,0.117,2.171,-7.817,1.145,39,129
26762,-0.074,-0.993,0.115,0.763,3.641,2.687,39,128
26808,-0.105,-1.0,0.148,0.046,1.611,1.313,39,128
26857,-0.103,-0.982,0.146,-0.214,-4.527,1.298,39,175
26907,-0.068,-0.994,0.12,-0.13,-3.718,1.489,40,177
26957,-0.079,-1.004,0.129,0.443,-2.84,1.171,39,177
27006,-0.094,-1.006,0.135,-0.0,-3.26,-0.875,39,175
27054,-0.169,-0.999,0.13,-0.368,-6.786,-1.008,18,64
27101,-0.061,-1.001,0.113,0.282,-5.55,-0.588,38,130
27147,-0.089,-1.006,0.131,-0.046,0.55,-0.641,38,128
27197,-0.083,-0.993,0.129,0.964,-2.252,0.592,40,128
27244,-0.091,-1.0,0.121,0.313,-4.023,0.832,40,129
27290,-0.07,-0.999,0.114,1.639,1.286,0.277,39,128
27337,-0.074,-1.0,0.13,0.928,-0.053,0.015,39,130
27384,-0.1,-1.005,0.142,1.22,-2.176,-0.794,39,130
27431,-0.074,-0.997,0.11,0.625,-3.351,-0.87,39,130
27478,-0.098,-0.982,0.145,1.03,0.205,0.818,38,129
27525,-0.092,-1.0,0.135,0.917,-3.412,1.13,39,131
27572,-0.077,-0.988,0.135,0.153,-1.314,0.847,39,131
27624,-0.093,-1.003,0.091,-0.458,-4.984,1.817,38,175
27674,-0.012,-1.002,0.129,1.672,-3.237,1.397,39,176
27723,-0.108,-0.99,0.128,1.656,-2.268,0.695,38,176
27773,-0.111,-0.999,0.113,0.613,-2.12,0.626,38,176
27821,-0.099,-1.004,0.121,1.351,-2.252,2.16,39,129
27868,-0.084,-1.001,0.14,1.175,0.534,0.364,38,131
27915,-0.093,-0.963,0.175,1.916,1.04,1.527,38,132
27962,-0.097,-1.002,0.138,1.282,-1.144,0.847,38,130
28008,-0.086,-0.993,0.139,1.634,-2.985,0.702,39,129
28058,-0.102,-0.99,0.142,1.725,-0.053,1.153,39,131
28105,-0.09,-1.004,0.124,1.481,-3.046,-0.337,38,130
28152,-0.094,-0.99,0.145,1.687,-2.435,-0.132,38,131
28199,-0.092,-0.99,0.123,1.481,-4.382,0.679,38,131
28247,-0.094,-0.987,0.147,1.405,-2.489,1.008,39,131
28294,-0.071,-1.001,0.126,1.687,0.031,0.499,39,130
28341,-0.091,-1.002,0.128,0.139,0.786,-1.145,39,132
28388,-0.091,-0.978,0.158,0.828,0.45,-1.656,38,130
28435,-0.104,-0.993,0.141,-0.359,-3.656,-0.326,38,131
28485,-0.107,-0.995,0.146,-1.359,-4.427,-1.069,37,132
28532,-0.064,-0.997,0.122,-0.023,-1.526,-0.87,37,130
28579,-0.099,-0.99,0.161,0.473,2.748,0.695,38,131
28626,-0.108,-0.999,0.147,1.321,-0.134,0.754,38,130
28674,-0.091,-1.002,0.134,1.656,-3.756,0.84,38,131
28721,-0.092,-1.003,0.114,0.379,0.328,1.145,38,131
28768,-0.094,-0.999,0.146,1.397,-0.091,0.522,38,131
28858,-0.064,-0.99,0.113,1.193,-3.817,0.035,38,132
28905,-0.074,-1.029,0.125,0.248,4.176,-0.403,38,130
28955,-0.111,-0.984,0.145,-0.153,3.817,-0.614,39,130
29002,-0.101,-1.006,0.197,1.655,-3.809,-1.046,39,129
29049,-0.087,-1.0,0.118,0.466,-2.725,-1.458,37,130
29096,-0.141,-1.006,0.125,0.397,-4.523,-1.191,38,129
29144,-0.092,-0.989,0.132,0.214,0.656,-1.244,38,130
29191,-0.103,-0.987,0.147,1.382,-0.469,1.771,38,130
29238,-0.101,-1.003,0.147,0.61,-2.832,-0.954,38,130
29285,-0.082,-0.978,0.113,0.853,0.344,-0.21,38,130
29332,-0.114,-1.0,0.151,0.906,0.29,2.328,38,130
29382,-0.102,-1.0,0.135,1.028,-2.466,0.285,37,130
29429,-0.091,-1.023,0.127,-0.214,-2.095,1.626,39,131
29477,-0.08,-0.98,0.154,0.72,-0.249,2.214,38,131
29524,-0.093,-1.001,0.145,0.374,-4.008,1.603,38,131
29572,-0.114,-0.989,0.135,0.198,-3.061,-0.93,36,130
29619,-0.021,-0.989,0.135,0.16,-0.305,1.131,38,130
29666,-0.106,-1.019,0.117,1.114,0.725,-1.183,39,130
29713,-0.093,-0.988,0.131,0.435,-1.294,-2.595,37,131
29760,-0.099,-0.986,0.132,0.366,-2.916,-1.229,39,130
29811,-0.092,-1.043,0.128,1.878,1.733,0.878,18,64
29858,-0.112,-0.967,0.178,1.374,1.008,2.45,38,132
29905,-0.103,-1.005,0.133,1.496,-1.222,1.229,38,130
29953,-0.106,-1.012,0.121,1.427,-1.186,0.335,38,131
30000,-0.094,-0.973,0.128,0.405,-0.051,0.588,38,131
30048,-0.139,-1.005,0.134,0.489,-2.344,-0.831,35,132
