Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33026,-0.113,-0.993,0.104,-1.275,-0.878,2.214,60,191
33077,-0.124,-0.991,0.121,-0.782,6.931,2.435,59,192
33128,-0.132,-0.99,0.122,-1.245,3.267,2.252,59,192
33180,-0.143,-0.979,0.125,-1.267,1.634,3.221,59,192
33231,-0.09,-1.001,0.093,-1.351,2.21,3.817,60,192
33284,-0.139,-0.995,0.114,-1.771,4.496,4.504,59,191
33335,-0.132,-0.991,0.115,-1.412,1.573,3.573,59,191
33389,-0.135,-0.992,0.12,-1.336,-1.267,2.092,59,191
33441,-0.145,-0.998,0.122,-0.336,-1.153,0.282,59,191
33492,-0.115,-0.995,0.101,-0.665,-0.74,-0.351,59,190
33545,-0.131,-0.982,0.11,-0.689,1.702,0.282,59,192
33596,-0.137,-0.999,0.092,-0.084,4.511,-0.076,60,190
33647,-0.137,-0.972,0.115,-1.321,6.374,1.128,59,191
33699,-0.155,-1.001,0.136,-1.595,0.352,0.738,60,190
33751,-0.135,-0.99,0.11,0.072,-0.565,2.383,61,191
33803,-0.123,-1.004,0.104,-0.802,2.55,1.832,60,190
33857,-0.147,-0.999,0.114,0.321,1.557,2.015,59,190
33908,-0.146,-0.992,0.109,0.504,2.443,1.102,59,190
33960,-0.092,-0.967,0.102,-0.244,0.726,-0.267,60,191
34012,-0.13,-0.984,0.099,-0.015,7.817,1.38,60,190
34064,-0.145,-0.985,0.115,-1.901,3.153,3.786,60,190
34115,-0.138,-0.996,0.135,-1.209,3.023,1.931,60,190
34167,-0.146,-1.008,0.128,-0.198,-3.153,0.008,60,190
34219,-0.134,-0.994,0.105,0.405,-3.702,-2.481,60,190
34269,-0.137,-0.991,0.112,-0.481,1.939,-2.237,60,160
34324,-0.154,-0.974,0.127,-0.437,-1.534,-0.771,61,190
34375,-0.16,-0.98,0.142,-0.359,-7.382,0.458,60,190
34427,-0.143,-1.0,0.109,0.366,-9.389,1.16,60,190
34479,-0.121,-0.993,0.119,-0.766,-5.359,0.449,60,190
34531,-0.104,-0.976,0.101,0.008,-0.702,1.106,59,191
34583,-0.137,-0.993,0.123,-1.885,-1.634,1.756,60,191
34634,-0.123,-0.998,0.118,-1.84,-5.489,-1.267,60,191
34686,-0.107,-0.971,0.135,-1.656,-5.168,2.063,59,191
34739,-0.128,-1.0,0.135,-0.221,-5.29,2.305,60,191
34793,-0.129,-0.992,0.11,0.344,-1.672,0.569,59,192
34845,-0.134,-0.991,0.134,-0.959,-2.427,2.084,60,192
34896,-0.1,-0.982,0.109,-0.504,-1.992,1.779,59,190
34949,-0.108,-0.996,0.114,-1.544,1.794,2.885,59,191
35001,-0.126,-0.997,0.137,-1.534,-0.948,0.183,59,191
35053,-0.126,-0.988,0.135,-0.466,-2.649,0.099,59,192
35104,-0.135,-0.999,0.124,-0.397,-1.534,-0.13,60,192
35156,-0.114,-0.997,0.117,0.473,-0.279,-0.084,59,192
35209,-0.135,-0.973,0.119,-0.382,1.511,0.359,59,191
35263,-0.121,-0.984,0.115,-1.29,2.26,2.328,59,192
35315,-0.141,-0.971,0.142,-1.786,-1.359,3.137,60,192
35367,-0.112,-0.999,0.109,-1.802,-0.641,0.076,59,191
35420,-0.128,-0.996,0.13,-1.527,-0.228,1.569,59,191
35471,-0.106,-0.984,0.112,0.784,3.466,1.687,60,191
35523,-0.13,-0.982,0.127,-2.427,2.954,1.985,60,191
35575,-0.101,-0.99,0.11,-2.076,4.359,1.113,60,191
35671,-0.157,-0.992,0.134,-2.695,0.384,0.229,59,192
35722,-0.136,-1.008,0.116,-4.641,-7.282,-2.435,60,191
35777,-0.114,-0.997,0.124,-4.603,-1.056,-0.473,59,193
35829,-0.154,-1.0,0.172,-2.176,-3.122,-0.16,61,191
35881,-0.123,-1.0,0.135,0.137,-8.542,-0.16,60,191
35934,-0.108,-0.978,0.103,1.634,-2.137,3.047,61,193
35986,-0.103,-0.995,0.085,0.275,-1.094,3.221,59,191
36038,-0.119,-0.968,0.113,-0.351,1.115,4.427,59,191
36089,-0.112,-1.01,0.104,-3.069,-2.168,0.365,58,191
36142,-0.111,-1.001,0.137,-3.931,-5.244,1.916,59,191
36194,-0.11,-0.996,0.172,-2.901,-4.824,1.743,60,191
36249,-0.085,-1.006,0.121,1.244,-1.435,0.031,58,191
36301,-0.103,-0.988,0.119,2.374,6.985,1.062,59,193
36354,-0.129,-1.013,0.11,1.947,0.275,-2.351,59,193
36406,-0.149,-0.993,0.111,-0.168,-5.557,-3.511,26,5
36459,-0.11,-0.983,0.116,-1.534,1.488,-1.947,59,0
36511,-0.146,-1.0,0.145,-2.405,-3.802,0.58,58,0
36563,-0.133,-0.981,0.142,-2.176,-7.595,3.573,58,0
36616,-0.086,-0.996,0.114,-0.007,-6.748,5.954,58,195
36668,-0.088,-0.992,0.121,1.397,1.824,6.878,57,196
36723,-0.111,-1.002,0.13,0.756,-0.141,2.656,57,197
36775,-0.098,-1.005,0.115,-0.473,-3.916,0.16,58,195
36829,-0.094,-0.979,0.122,-0.87,4.939,-0.473,58,196
36881,-0.136,-1.013,0.141,-0.328,-1.832,0.473,58,196
36933,-0.107,-0.994,0.125,-0.092,-1.26,-1.412,58,194
36985,-0.103,-0.99,0.118,0.084,3.298,0.447,57,194
37038,-0.141,-0.983,0.144,-0.798,5.855,0.519,57,195
37086,-0.14,-0.999,0.139,-1.405,-6.481,0.473,57,120
37134,-0.101,-0.996,0.12,-2.626,-9.107,0.882,57,119
37189,-0.084,-0.991,0.098,-1.177,4.305,3.237,57,194
37241,-0.139,-1.0,0.139,-1.565,2.718,3.061,57,194
37294,-0.113,-0.992,0.134,-1.064,-2.718,2.656,57,194
37346,-0.106,-1.006,0.119,-1.412,-3.008,-0.817,57,196
37398,-0.128,-0.981,0.149,-1.977,-3.565,0.511,57,195
37450,-0.106,-0.999,0.12,-1.466,-3.824,-0.298,56,198
37504,-0.109,-0.99,0.137,-1.557,-1.351,3.901,57,195
37556,-0.107,-1.001,0.14,-0.572,-4.618,2.076,57,196
37611,-0.098,-0.996,0.123,-0.542,1.28,1.352,57,195
37663,-0.109,-0.996,0.136,1.0,3.618,4.061,57,197
37716,-0.104,-1.004,0.145,-0.336,-1.611,-0.817,56,197
37769,-0.089,-0.984,0.123,-0.298,-0.629,0.313,57,197
37821,-0.095,-1.0,0.135,0.244,4.046,1.575,57,198
37874,-0.116,-1.007,0.142,1.191,5.55,-1.046,57,199
37926,-0.11,-0.988,0.131,0.389,0.53,-0.58,57,200
37980,-0.124,-0.989,0.136,0.336,4.489,-1.282,57,0
38032,-0.134,-0.996,0.128,-1.187,-1.141,-0.084,56,0
38083,-0.111,-0.983,0.129,-1.366,-2.099,-1.053,57,121
38131,-0.113,-0.99,0.136,-1.84,-0.763,0.389,56,121
38179,-0.121,-0.993,0.149,-1.267,-1.0,1.969,57,122
