Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
242520,-0.416,0.143,0.823,-6.338,22.832,45.718,49,92
242607,-0.234,0.008,0.915,17.835,40.101,36.107,0,89
242695,-0.507,-0.04,0.968,19.105,18.474,8.572,0,86
242782,-0.712,-0.096,0.915,58.031,27.557,-28.813,0,82
242868,-0.702,-0.073,0.637,113.313,27.45,-3.498,0,78
242956,-0.535,0.088,0.365,250.13,57.885,-5.289,0,90
243049,-0.82,0.722,0.084,159.71,95.405,-91.771,0,0
243145,-1.282,-0.132,0.629,61.237,10.531,-143.481,0,169
243238,-0.518,0.999,-1.889,250.13,-64.061,45.781,0,0
243331,-1.079,-0.957,-0.57,-250.137,74.809,-128.733,0,168
243425,-0.257,0.391,-1.17,250.13,-44.244,150.267,0,0
243517,-1.235,-0.612,-0.827,-250.137,131.489,-136.947,0,175
243614,-0.025,1.11,-0.768,250.13,63.181,107.145,0,142
243707,-1.637,-1.227,-0.112,-250.137,102.403,24.788,0,193
243800,-0.16,1.941,-1.803,250.13,76.756,192.282,0,0
243893,-1.311,-1.733,0.024,-250.137,-0.189,-60.191,0,0
243989,0.798,2.0,-1.684,250.13,44.139,83.359,0,0
244073,-1.833,-2.0,0.058,-250.137,-41.954,-117.13,0,53
244166,0.636,1.614,-1.851,250.13,-39.458,168.55,0,0
244251,-1.466,-1.503,0.365,-250.137,35.028,-130.969,0,57
244344,-0.089,0.835,-1.652,250.13,-74.74,92.74,0,0
244438,-0.966,-0.316,-0.617,-250.137,61.969,-61.0,0,0
244531,-0.552,0.524,-0.416,250.13,-20.653,129.763,0,0
244619,0.374,-0.079,0.708,-250.137,93.634,186.331,0,126
244715,-2.0,0.948,-0.572,250.13,-3.512,80.298,0,0
244803,0.255,0.499,0.378,-52.588,55.931,-4.702,0,105
244892,-1.295,0.071,0.465,-250.137,104.763,99.74,0,132
244980,-0.02,-0.04,0.643,250.13,-105.038,61.794,0,106
245069,-1.074,1.133,-1.38,-250.137,250.13,-174.832,0,133
245158,-1.119,-1.213,0.523,250.13,-250.137,-19.148,0,131
245248,0.315,2.0,-1.385,-250.137,227.122,-103.55,0,129
245334,-1.263,-2.0,1.847,182.237,-205.916,-49.733,0,73
245425,1.351,2.0,-1.39,179.221,123.786,44.435,0,105
245511,-1.127,-1.503,0.131,-250.137,-111.082,-102.137,0,76
245599,0.53,0.125,-1.36,250.13,-101.435,101.908,0,104
245688,-1.136,-0.293,-0.776,-250.137,80.115,-66.16,0,131
245775,1.071,0.672,-0.949,250.13,31.422,51.832,0,103
245863,-2.0,-0.171,-0.503,-250.137,40.519,3.933,0,106
245951,1.257,0.571,-1.02,250.13,-80.145,152.176,0,104
246040,-1.089,1.065,-0.481,-250.137,151.802,-154.13,0,133
246128,0.308,-0.349,-0.937,250.13,-181.679,100.809,0,105
246219,-1.645,1.961,-1.711,-250.137,178.718,-119.962,0,106
246307,0.709,-1.892,1.271,250.13,-147.145,102.298,0,107
246394,-0.685,2.0,-2.0,-143.023,31.595,16.358,197,104
246482,-0.054,-1.024,1.277,51.308,131.649,15.152,191,107
246569,0.27,2.0,-1.573,166.206,-24.827,62.893,193,106
246649,-1.485,-0.371,-0.061,-250.137,102.405,-39.45,48,112
246737,1.186,1.202,-0.849,250.13,17.819,111.527,188,109
246825,-1.282,0.046,-0.349,-250.137,67.847,-77.588,189,116
246907,1.446,-0.216,-0.627,250.13,88.092,50.985,14,32
247001,-1.008,0.987,-0.517,-250.137,27.412,-45.798,0,0
247090,0.553,-0.612,0.63,250.13,-62.062,27.847,0,118
247174,-0.811,0.737,-0.127,-250.137,24.947,134.71,42,0
247258,0.407,-0.431,1.106,136.412,57.863,-55.751,37,0
247337,0.104,1.478,0.607,-89.55,-31.298,170.351,37,124
247421,0.366,0.869,1.274,74.542,34.458,-96.55,37,0
247505,0.246,0.833,0.543,-118.397,46.672,126.969,47,0
247588,-1.611,1.188,0.751,250.13,29.931,-146.015,34,123
247672,0.355,0.235,0.211,-189.374,9.675,100.87,33,0
247761,-1.923,0.766,0.866,250.13,3.62,-103.847,0,127
247845,0.677,-0.311,0.468,-220.74,-0.101,44.977,29,0
247933,-1.858,1.377,-0.25,250.13,-39.618,-46.115,180,128
248014,0.563,-0.265,0.673,-51.107,44.096,25.321,30,157
248094,-0.171,0.314,0.236,250.13,-44.198,-160.656,40,121
248187,0.239,0.931,-0.513,-250.137,75.13,-250.137,0,0
248280,-1.256,-0.796,-0.076,250.13,-159.321,-68.412,0,165
248374,-0.047,2.0,-2.0,-250.137,206.527,-250.137,0,161
248463,-1.056,-2.0,1.122,250.13,-76.992,30.191,0,127
248554,-0.09,2.0,-1.535,-250.137,108.412,-77.137,0,159
248643,-1.396,-2.0,1.761,187.16,-52.039,-104.191,0,124
248732,0.59,2.0,-1.719,182.969,23.557,-96.756,0,121
248821,-1.515,-2.0,1.515,-250.137,-24.3,-232.458,0,125
248915,0.545,2.0,-2.0,250.13,-7.488,226.886,0,0
248995,-1.333,-2.0,1.43,-250.137,34.87,-131.634,43,127
249093,-0.276,2.0,-2.0,250.13,-83.863,152.687,0,0
249182,-1.375,-2.0,1.048,-250.137,-13.241,-47.856,0,131
249275,0.304,1.164,-0.666,250.13,-40.473,30.405,0,0
249365,-1.57,-1.516,-0.602,-250.137,88.397,-195.496,0,137
249455,-0.532,-0.239,-0.735,250.13,-77.046,212.206,0,136
249548,0.143,2.0,-0.71,126.008,-59.221,-48.321,0,0
249639,-2.0,-0.96,-0.942,-250.137,60.595,-84.298,0,147
249732,0.157,-1.036,-0.905,250.13,-103.252,138.794,0,178
249826,-0.748,2.0,-2.0,-250.137,147.344,-250.137,0,149
249917,-0.868,-2.0,1.208,250.13,-154.183,100.878,0,156
250010,0.744,2.0,-1.39,-73.504,23.519,-34.145,0,0
250102,-2.0,-2.0,1.726,-25.267,-98.031,-48.794,0,166
250195,-0.134,2.0,-1.828,67.626,34.405,43.908,0,0
250288,-1.86,-2.0,1.56,-38.008,-63.534,-55.069,0,182
250381,-0.124,2.0,-1.445,-59.664,81.954,-42.193,0,187
250475,-2.0,-2.0,1.542,-81.252,-90.244,-128.214,0,0
