Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
242520,-0.414,0.143,0.823,-6.362,22.832,45.718,49,92
242607,-0.41,0.008,0.915,-9.722,10.048,36.107,0,89
242695,-0.371,-0.04,0.968,46.247,39.807,32.897,0,86
242782,-0.535,-0.096,0.915,58.031,27.557,-9.401,0,82
242868,-0.702,-0.073,0.637,113.313,27.45,-2.123,0,78
242956,-0.559,0.088,0.365,250.13,57.885,-10.415,0,90
243049,-0.82,0.551,0.061,159.71,95.405,-91.771,0,0
243145,-1.282,-0.132,0.629,61.237,7.819,-143.481,0,169
243238,-0.59,0.999,-1.889,250.13,-64.061,14.125,0,0
243331,-1.079,-0.957,-0.57,-250.137,74.809,-128.733,0,168
243425,-0.443,-0.018,-1.17,250.13,-44.244,150.267,0,0
243517,-1.235,-0.612,-0.827,-250.137,131.489,-136.947,0,175
243614,-0.025,1.11,-0.768,250.13,7.761,107.145,0,142
243707,-1.637,-1.227,-0.112,-250.137,8.584,5.344,0,193
243800,-0.16,1.941,-1.803,250.13,76.756,192.282,0,0
243893,-1.311,-1.733,-0.216,-250.137,-21.101,-60.191,0,0
243989,0.798,2.0,-1.684,250.13,17.557,83.359,0,0
244073,-1.833,-2.0,0.312,-250.137,-41.954,-117.13,0,53
244166,0.636,1.614,-1.851,250.13,-39.458,168.55,0,0
244251,-1.466,-1.503,0.08,-250.137,2.133,-130.969,0,57
244344,-0.307,0.648,-1.652,250.13,-74.74,92.74,0,0
244438,-0.966,-0.316,-0.617,-250.137,61.969,-61.0,0,0
244531,-0.927,0.28,-0.416,250.13,-91.113,129.763,0,0
244619,0.374,-0.079,-0.176,-250.137,93.634,-77.592,0,126
244715,-2.0,0.948,-0.572,250.13,10.08,80.298,0,0
244803,0.255,0.713,0.548,-52.588,55.931,42.344,0,105
244892,-1.295,0.071,0.465,-250.137,104.763,99.74,0,132
244980,-0.02,-0.04,-0.027,250.13,-105.038,61.794,0,106
245069,-1.074,1.133,-1.38,-250.137,250.13,-174.832,0,133
245158,-1.119,-1.213,0.523,250.13,-250.137,-16.018,0,131
245248,-0.395,2.0,-1.385,-250.137,227.122,-103.55,0,129
245334,-1.263,-2.0,1.847,182.237,-205.916,-49.733,0,74
245425,1.351,2.0,-1.39,179.221,123.786,44.435,0,105
245511,-1.127,-1.503,0.366,-250.137,10.984,-102.137,0,77
245599,0.53,0.125,-1.36,250.13,-36.855,101.908,0,104
245688,-1.136,-0.293,-0.776,-250.137,80.115,-66.16,0,131
245775,1.071,0.626,-0.949,250.13,20.564,51.832,0,103
245863,-2.0,-0.171,-0.503,-250.137,40.519,10.762,0,106
245951,1.257,0.682,-1.02,250.13,-80.145,152.176,0,104
246040,-1.089,1.065,-0.481,-250.137,151.802,-154.13,0,133
246128,0.308,-0.349,-0.937,250.13,-181.679,100.809,0,105
246219,-1.645,1.961,-1.711,-250.137,178.718,-119.962,0,106
246307,0.709,-1.892,1.271,250.13,-147.145,102.298,0,107
246394,-0.685,2.0,-2.0,-143.023,31.595,-81.686,197,104
246482,-0.054,-1.024,1.277,126.946,131.649,38.47,191,107
246569,0.27,2.0,-1.573,166.206,-35.035,62.893,193,106
246649,-1.485,-0.371,-0.271,-250.137,102.405,-39.45,47,112
246737,1.186,1.202,-0.849,250.13,-9.319,111.527,188,109
246825,-1.282,0.046,-0.349,-250.137,67.847,-77.588,189,116
246907,1.446,0.422,0.039,250.13,88.092,50.985,46,108
247001,-1.008,0.987,-0.517,-250.137,27.412,-102.959,0,0
247090,0.553,-0.612,0.63,250.13,3.044,27.847,0,118
247174,-0.811,0.737,-0.127,-250.137,24.947,134.71,42,0
247258,0.407,-0.431,1.106,136.412,57.863,-96.524,37,0
247337,0.104,1.478,0.485,-89.55,-31.298,170.351,37,124
247421,0.366,0.413,1.274,74.542,34.458,-96.55,37,0
247505,0.246,0.833,0.391,-118.397,46.672,126.969,46,0
247588,-1.611,1.188,0.751,250.13,29.931,-146.015,34,123
247672,0.355,0.578,0.503,-189.374,42.845,100.87,33,0
247761,-1.923,0.766,0.866,250.13,-32.354,-103.847,0,127
247845,0.677,-0.311,0.468,-220.74,18.19,44.977,29,0
247933,-1.858,1.377,-0.25,250.13,-39.618,-46.115,180,128
248014,0.563,-0.265,0.673,-51.107,-1.285,25.321,30,157
248094,-0.301,0.211,0.168,250.13,-44.198,-160.656,40,121
248187,0.239,0.931,-0.513,-250.137,75.13,-250.137,0,0
248280,-1.256,-0.796,-0.075,250.13,-159.321,-68.412,0,165
248374,-0.047,2.0,-2.0,-250.137,206.527,-250.137,0,161
248463,-1.056,-2.0,1.122,250.13,-76.992,30.191,0,127
248554,-0.09,2.0,-1.535,-250.137,108.412,-77.137,0,159
248643,-1.396,-2.0,1.761,187.16,-15.614,-104.191,0,124
248732,0.59,2.0,-1.719,182.969,23.557,-96.756,0,121
248821,-1.515,-2.0,1.515,-250.137,17.755,-232.458,0,125
248915,0.545,2.0,-2.0,250.13,-12.214,226.886,0,0
248995,-1.333,-2.0,1.43,-250.137,34.87,-131.634,43,127
249093,-0.483,2.0,-2.0,250.13,-83.863,152.687,0,0
249182,-1.375,-2.0,1.048,-250.137,51.639,36.629,0,131
249275,-0.243,1.164,-0.666,250.13,-40.473,30.405,0,0
249365,-1.57,-1.516,-0.602,-250.137,88.397,-195.496,0,137
249455,-0.481,-0.239,-0.735,250.13,-77.046,212.206,0,136
249548,0.143,2.0,-0.71,126.008,-59.221,-48.321,0,0
249639,-2.0,-0.96,-0.942,-250.137,60.595,-84.298,0,147
249732,0.157,-1.036,-0.905,250.13,-103.252,138.794,0,178
249826,-0.748,2.0,-2.0,-250.137,147.344,-250.137,0,149
249917,-0.868,-2.0,1.208,250.13,-154.183,100.878,0,156
250010,0.744,2.0,-1.39,-73.504,23.519,-34.145,0,0
250102,-2.0,-2.0,1.726,-25.267,-98.031,-48.794,0,166
250195,-0.241,2.0,-1.828,67.626,34.405,43.908,0,0
250288,-1.86,-2.0,1.56,-38.008,-63.534,-55.069,0,182
250381,-0.124,2.0,-1.445,-59.664,81.954,16.317,0,187
250475,-2.0,-2.0,1.542,-81.252,-90.244,-128.214,0,0
250568,-0.035,2.0,-1.392,84.237,30.469,130.809,0,0
250665,-1.432,-2.0,1.142,41.435,6.742,-1.477,0,0
250759,-0.756,2.0,-1.581,-250.137,188.977,-134.71,0,0
250853,-1.503,-1.76,0.216,250.13,-67.16,38.733,0,0
250946,-0.75,1.439,-0.809,-250.137,95.214,-25.664,0,0
251040,-0.937,-0.72,-0.176,250.13,-93.153,62.061,0,0
251133,-0.992,0.976,-0.957,-250.137,100.58,-98.977,0,0
251228,-1.533,-1.358,0.509,240.252,-77.298,68.351,0,0
251321,-0.609,2.0,-1.441,-183.16,124.244,57.634,0,0
251418,-1.324,-2.0,1.311,-120.947,-62.893,45.863,0,0
251511,0.478,2.0,-1.572,250.13,-78.141,137.29,0,0
251606,-1.547,-2.0,0.885,-250.137,-51.395,-43.611,0,0
251694,0.228,2.0,-1.908,250.13,-67.742,124.595,0,97
251788,-1.344,-1.345,0.348,-250.137,41.26,-119.649,0,0
251882,-0.163,1.243,-1.062,250.13,-63.962,67.246,0,0
251976,-1.232,-1.001,-0.105,-250.137,68.115,-176.733,0,0
252070,-0.641,0.477,-0.9,250.13,-72.527,-21.983,0,0
252165,-0.937,-0.838,-0.031,-250.137,97.672,-168.191,0,0
252262,-0.646,1.02,-1.245,250.13,-98.252,58.389,0,0
252356,-1.128,-0.529,-0.426,-250.137,123.687,-107.969,0,0
252450,-0.637,0.693,-0.837,250.13,-92.641,107.13,0,0
252545,-0.954,0.177,-0.501,-250.137,106.405,-82.351,0,0
252639,-1.047,-0.211,0.243,250.13,-56.313,135.886,0,0
252733,0.011,2.0,-0.666,125.351,92.321,128.786,0,0
252827,-1.083,-1.098,0.291,-250.137,64.389,17.229,0,0
252920,-0.159,1.334,-1.013,250.13,-41.71,82.611,0,0
253015,-0.969,-0.301,-0.301,-250.137,62.656,-106.008,0,0
253112,-0.447,0.323,-0.858,250.13,-94.229,61.916,0,0
253206,-1.912,0.167,-1.024,-250.137,74.977,53.901,0,0
253300,0.674,-1.121,0.549,250.13,-96.702,96.916,0,0
253394,-1.926,2.0,-1.353,-230.069,-20.328,-250.137,0,0
253480,-0.041,-2.0,0.958,-40.55,-48.153,125.198,0,62
253575,-1.114,0.855,-1.75,250.13,-119.015,-137.634,0,0
