Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
365982,-0.782,2.0,-0.467,-114.366,45.295,22.379,54,0
366030,-0.767,-0.099,0.123,-250.137,44.198,-71.099,77,71
366075,-0.86,-2.0,1.427,42.786,-25.458,-68.145,17,68
366134,-0.95,-1.134,0.038,250.13,-96.618,-7.614,50,0
366180,-0.346,2.0,-1.796,250.13,-60.145,44.992,51,57
366234,-0.985,2.0,-1.943,-250.137,111.244,-72.962,52,0
366280,-1.38,-2.0,1.6,-250.137,-1.916,-71.855,26,69
366337,-0.789,-1.178,0.54,250.13,-72.763,47.038,72,0
366391,-0.694,2.0,-0.96,105.023,39.552,62.557,51,0
366446,-0.876,-0.043,-0.23,-250.137,60.672,-16.097,58,0
366492,-0.743,-1.322,1.208,151.374,-31.504,8.324,24,71
366550,-0.597,0.014,0.002,250.13,-53.742,55.0,50,0
366605,-0.895,1.614,-0.326,-198.389,47.603,-4.696,50,0
366650,-0.897,-0.143,0.377,-250.137,54.397,-21.806,20,72
366696,-0.816,-1.133,1.185,-124.847,2.743,-16.889,19,72
366745,-0.867,-0.992,0.909,250.13,-73.87,-10.421,80,74
366799,-0.75,-0.11,-0.023,250.13,-102.954,-40.498,55,0
366855,-0.67,2.0,-1.058,-216.122,57.351,-35.626,56,0
366911,-0.877,-0.432,-0.428,-250.137,68.45,-53.435,0,67
366956,-0.598,-2.0,1.705,250.13,-64.794,-59.427,22,67
367014,-0.555,-0.057,-0.737,250.13,-32.473,45.053,58,0
367070,-1.161,2.0,-1.213,-250.137,69.947,41.652,62,0
367116,-0.784,-2.0,0.547,-250.137,-21.8,-102.985,22,64
367161,-0.863,-1.76,1.056,250.13,-85.794,-19.856,24,65
367216,0.118,0.685,-0.361,250.13,33.771,104.153,59,0
367265,-1.015,2.0,-0.615,-250.137,79.16,2.994,59,95
367314,-0.7,-1.492,0.673,-250.137,-35.763,-117.153,89,64
367363,-0.558,-1.196,1.13,250.13,-20.565,-58.853,68,62
367416,-1.031,1.341,-0.059,157.947,75.556,68.969,61,94
367463,-0.689,0.757,0.84,-201.153,-46.962,29.491,59,67
367510,-0.862,-0.807,1.334,74.656,-78.435,-38.618,53,60
367559,-0.771,0.0,0.907,247.847,-99.282,-0.849,61,91
367614,-0.668,0.017,0.583,250.13,-112.214,12.575,57,0
367663,0.257,2.0,-0.595,149.092,79.046,46.626,50,69
367711,-1.018,1.308,-1.116,-250.137,103.626,-18.947,57,78
367758,-0.785,-2.0,0.979,-250.137,-61.595,-120.443,62,56
367809,-0.313,-1.027,0.618,250.13,-60.008,36.756,71,58
367868,-0.224,1.802,-0.924,250.13,62.043,95.252,133,0
367918,-0.524,1.029,-0.051,-250.137,67.695,-40.991,59,80
367971,-1.109,-0.216,0.647,-250.137,82.84,50.092,171,61
368027,-0.641,-0.575,1.327,65.061,-7.301,155.863,0,64
368081,-0.424,0.373,0.95,175.756,16.416,106.137,166,69
368136,-0.589,0.774,0.885,78.137,22.397,61.336,177,73
368192,-0.713,0.724,0.839,-51.191,20.556,63.634,187,87
368248,-0.75,0.665,0.779,-73.481,-27.893,83.397,0,73
368309,-0.75,0.744,0.744,-86.412,-66.542,118.794,0,75
368365,-0.548,0.648,0.81,-84.511,-95.641,161.618,0,78
368421,0.068,0.334,0.722,39.924,-79.886,215.939,0,82
368468,0.556,0.274,0.644,51.359,13.19,199.458,47,64
368516,0.544,0.241,0.689,53.962,9.248,125.985,38,67
368605,0.191,0.855,0.705,52.221,35.55,250.13,35,73
368665,0.472,0.286,0.672,-49.702,60.168,214.137,0,42
368709,0.905,0.34,1.26,114.053,42.802,-3.149,30,41
368754,-0.41,1.957,-0.288,84.924,1.819,114.198,29,67
368812,0.509,0.524,0.498,-57.924,35.924,217.023,0,66
368866,1.059,-0.675,0.925,-41.16,50.374,143.021,0,69
368911,-0.696,1.936,-0.404,174.824,12.379,-29.702,30,60
368965,0.445,0.653,0.244,-42.733,41.008,116.099,0,60
369020,0.912,-0.0,1.141,-27.504,68.695,-7.341,0,63
369064,-0.172,1.553,0.263,38.824,36.679,31.649,27,57
369119,0.405,0.067,0.679,-86.489,20.975,103.55,0,57
369173,0.766,0.543,1.215,75.443,-6.85,-98.695,0,57
369220,0.529,0.701,0.88,-53.076,-24.573,45.328,23,57
369274,0.917,-0.029,0.855,-45.847,36.427,32.092,0,57
369319,-0.207,1.496,0.254,-27.991,26.568,-24.106,21,65
369366,0.438,-0.35,0.773,-109.71,0.89,52.221,23,93
369411,0.045,0.528,0.768,147.496,-40.458,-70.076,23,65
369467,0.561,0.629,0.647,-43.664,-67.481,41.206,0,100
369522,1.043,-0.033,1.076,48.076,13.72,-65.841,0,59
369576,0.321,0.642,0.649,-61.969,33.649,-24.63,0,59
369634,0.791,-0.278,0.967,-35.75,4.82,-41.315,0,101
369679,-0.364,1.323,0.11,34.275,-28.137,-30.687,25,20
369728,0.544,-0.084,0.775,-37.679,-40.412,68.176,23,145
369783,0.327,1.281,0.555,136.198,-19.533,-62.183,0,65
369828,0.505,0.152,0.812,-154.206,-0.27,46.641,22,67
369872,0.947,-0.23,1.198,49.639,54.712,78.693,21,59
369927,0.162,1.186,0.524,81.832,12.5,-54.206,0,59
369971,0.567,-0.17,0.822,-75.702,-36.954,16.189,22,53
370016,-0.106,0.978,0.935,121.626,-44.511,-94.313,32,52
370058,0.16,0.953,0.691,-125.298,-65.0,182.361,36,18
370115,0.603,-0.451,1.001,-133.168,-48.817,-44.214,0,50
370159,0.204,0.288,0.873,-58.618,-30.771,-250.137,31,49
370206,-0.105,-0.068,0.683,-147.412,-23.718,-250.137,34,81
370252,0.016,0.057,0.753,-82.466,15.317,-250.137,42,77
370308,-0.591,0.577,1.006,124.603,84.738,-250.137,0,72
370364,-0.471,1.306,0.11,-64.009,78.565,-250.137,0,84
370415,-0.584,0.879,-0.061,-230.924,233.863,-232.702,113,78
370460,-1.1,0.006,0.343,-250.137,222.618,-168.908,16,75
370508,-1.173,-1.063,1.419,117.832,77.336,-147.473,16,73
370553,-1.193,-0.887,0.723,250.13,110.807,-67.641,17,73
370609,-1.247,-0.106,-0.973,250.13,-37.779,36.971,77,0
370665,-0.471,2.0,-1.311,-250.137,107.924,-84.55,79,0
370721,-1.446,-1.133,-1.285,-250.137,103.359,-64.718,23,0
370766,-0.766,-2.0,1.969,250.13,-73.328,6.39,5,22
370816,-0.661,-0.526,-0.746,250.13,-55.878,78.153,23,126
370872,0.074,2.0,-1.209,277.768,49.579,49.382,82,0
