Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
417565,-1.183,1.528,-0.758,-72.557,216.015,157.695,44,104
417617,-0.656,0.644,-0.433,-69.122,181.275,52.031,40,112
417669,-0.427,-0.48,-0.019,-142.534,141.931,85.558,37,120
417723,-0.694,-1.291,-0.482,-113.939,90.389,-67.0,35,116
417783,-0.747,-0.839,-0.278,133.038,48.837,-235.282,0,112
417843,-1.059,-0.071,-0.157,239.092,-77.153,-250.137,0,102
417902,-2.0,2.0,-0.811,92.313,-117.702,-37.71,0,99
417963,-1.008,1.384,-0.41,129.824,-113.336,115.947,0,105
418023,0.153,0.207,-0.449,-37.255,-162.794,66.695,0,112
418084,0.875,-0.212,0.27,-13.634,-151.168,-71.963,0,118
418145,1.318,-0.348,0.344,6.437,-61.763,-6.081,0,116
418207,1.051,-0.047,0.304,6.366,56.282,-22.267,0,107
418267,0.434,2.0,0.141,92.786,143.527,50.16,0,95
418326,-1.743,2.0,-1.342,-160.313,207.053,229.595,0,94
418386,-1.118,1.778,-1.163,-97.0,200.153,231.275,0,106
418447,-0.578,0.106,-0.709,-126.802,167.229,90.351,0,118
418508,-0.847,-1.174,-0.712,-183.969,104.153,34.826,0,123
418570,-0.546,-0.903,-0.415,139.198,64.328,-133.053,0,118
418630,-1.047,-0.153,-0.123,165.542,74.656,-250.137,0,107
418693,-2.0,2.0,-1.344,152.015,-162.519,-191.878,0,98
418753,-1.216,2.0,-0.43,63.313,-162.282,49.0,0,102
418813,0.354,0.32,-0.045,86.015,-207.107,-40.635,0,111
418874,0.782,0.091,0.019,80.802,-132.26,29.812,0,117
418934,1.095,-0.169,0.251,-36.901,-50.496,-25.794,0,117
418995,1.144,-0.198,0.557,29.673,-70.537,-45.951,0,110
419053,0.613,1.015,0.035,81.695,70.985,97.941,0,72
419112,-1.705,2.0,-1.7,79.756,161.0,142.549,0,92
419173,-1.697,2.0,-0.872,-63.954,211.557,250.13,0,100
419233,-0.623,1.061,-0.411,-91.412,181.16,123.351,0,66
419295,-0.654,-0.288,-0.155,-197.344,143.817,7.908,0,120
419356,-0.534,-1.571,-0.438,-163.74,58.695,-61.053,0,120
419417,-0.654,-0.708,-0.243,215.214,60.819,-250.137,0,112
419477,-2.0,0.333,-0.873,150.435,-95.313,-250.137,0,99
419536,-2.0,2.0,-0.585,139.649,-177.069,-70.573,0,101
419598,-0.765,1.518,-0.371,88.702,-130.229,52.061,0,119
419659,0.494,0.875,0.111,67.554,-143.779,45.306,0,119
419723,0.64,-0.026,0.177,-9.763,-85.145,19.866,0,116
419783,1.054,-0.063,0.298,-26.718,-25.832,58.539,0,115
419844,0.962,-0.085,0.362,60.256,47.687,58.58,0,108
419903,0.435,2.0,-0.086,68.924,101.366,131.221,0,96
419963,-2.0,2.0,-1.235,-144.084,168.489,250.13,0,98
420024,-0.9,1.509,-0.154,-69.084,133.328,198.29,0,111
420085,-0.387,0.172,-0.264,-69.656,108.107,73.733,0,122
420137,-0.718,-0.88,-0.452,-161.115,100.863,40.85,36,127
420190,-0.703,-0.99,-0.608,-10.244,55.298,-110.328,37,126
420246,-0.713,-0.364,-0.45,148.71,-45.106,-250.137,58,115
420305,-1.781,-0.129,-0.538,112.985,80.867,-250.137,0,104
420367,-2.0,2.0,-0.15,250.13,-116.58,-234.26,0,107
420428,-0.519,1.875,-0.278,145.519,-113.664,55.928,0,122
420489,0.19,1.035,-0.047,48.344,-142.336,36.824,0,116
420594,1.117,-0.172,0.394,-53.977,-21.153,49.107,0,129
